stage,algorithm_id,original_name,published_name,published_path,dependencies,platform,source_sha256,published_sha256,verification_status
01_data_preparation,01,author_clean.py,01_author_disambiguation.py,reproducibility/code/01_data_preparation/01_author_disambiguation.py,difflib; networkx; pandas,Windows/Linux,18311b88c5f54e65a719bb1b8e414ef3e0c55f1a5e6bc6459f5c2156ff358df4,48c5912e2a57eb8d1429ed4fc30da4eb9c8c274f594b8829ae147b6870499351,heavy_preflight_only
01_data_preparation,02,author_team_size_stats.py,02_author_team_size_statistics.py,reproducibility/code/01_data_preparation/02_author_team_size_statistics.py,pandas,Windows/Linux,00f4f97e31580787929e73f289f63b56a639472206e0fe3b4c740bab9d6c5d9d,b9402f5adfe714ad9adcad4beec7d6beac21d3a3097ad71dbbb86bef0542a943,verified_light_run
01_data_preparation,03,author_inter_discipline.py,03_author_discipline_count.py,reproducibility/code/01_data_preparation/03_author_discipline_count.py,numpy; pandas,Windows/Linux,89ae1411aa87919d3dd440ee3b7eda7fee778fbf83eb0fe2a34145dbf7f327b1,4a2ed0dfa2d624bb59bbe3fccc304b34216728d03df3f44991016f68ceccac8a,verified
01_data_preparation,04,author_interdisciplie.py,04_author_discipline_entropy.py,reproducibility/code/01_data_preparation/04_author_discipline_entropy.py,numpy; pandas,Windows/Linux,a060caaff665ccbc9c38f07f6ce011f85f147997c56c1867080ce9a12c979aec,21ad5d0b32178e866ccdf1daccbe24f7bd0cbdb69389fd6caac12ec0f0a08a95,verified
01_data_preparation,05,first_author_citation_single.py,05_author_role_statistics.py,reproducibility/code/01_data_preparation/05_author_role_statistics.py,numpy; pandas,Windows/Linux,b0693bab3a8f325301ae9bb3eb512d32254a2f4d86c15013afcdf50b60ced6c6,36b5e69ed1cdfd8839d662b9a0df462dc7fcfa5b14ea7e7f361bf826f1229b96,verified
01_data_preparation,06,author_around_impact.py,06_author_neighbor_influence.py,reproducibility/code/01_data_preparation/06_author_neighbor_influence.py,numpy; pandas,Windows/Linux,9f075102c95f2b54f1531f5df6c9379b7d040599b0757664107c7ce1435e9498,d36717e1818702ec126023cc6030805f1867385d2b0d7d5ed15975c0499de79c,verified
02_network_construction,01,network_author.py,01_coauthorship_network_pipeline.py,reproducibility/code/02_network_construction/01_coauthorship_network_pipeline.py,networkx; numpy; pandas; scipy,Windows/Linux,e5668325879a69c1f815b317c995182a836b889a5b7246ef6e0a9fc344eb43ea,940f2e93c8410d5fd6bb12acb5412cedf8168561489d2a011bfccb15239003ee,verified
02_network_construction,02,active_network_edge_time.py,02_active_network_with_edge_duration.py,reproducibility/code/02_network_construction/02_active_network_with_edge_duration.py,networkx; numpy; pandas; scipy; tqdm,Windows/Linux,ef98b08a7547c27ceb1cc96e7aee3af36fb6f06f4e1638d5cbaf1e7bc08a2b25,4e84d8a403de910e2ba6ee49b94f85c8fd32bb5814e171fecd803e73020d1ebb,verified
02_network_construction,03,net_cons_filter.py,03_global_first_dynamic_network.py,reproducibility/code/02_network_construction/03_global_first_dynamic_network.py,networkx; numpy; pandas; scipy,Windows/Linux,7e4dd905b85376be9d6bbd34f7b8d1a8cf2e80bc4c0d7cc621c2e9a746129668,561200702debc417addbae780298b6ee61b301cba853a6e57fb9253f425b6e88,verified
02_network_construction,04,filter2.py,04_network_role_tagging.py,reproducibility/code/02_network_construction/04_network_role_tagging.py,networkx,Windows/Linux,142977024ac4b2677e2b1455364c3608a6ac75e4324c5540b5548b4c832b10a3,e1c042bc7872f9011613ce4c53533c7bfcc6cb65dc9947870ad119d843683cc5,verified
02_network_construction,05,ego_network.py,05_ego_network_extraction.py,reproducibility/code/02_network_construction/05_ego_network_extraction.py,networkx; numpy; pandas; scipy; tqdm,Windows/Linux,1c66a210424fbf3ca01d98ffcee00ddae06369234010de77fbd5d0540107cee8,475f4b13ff0c6ef82075e56288536f199cbf647d1205dba347ea60a72d9aa8cb,verified
02_network_construction,06,edge_time_weight.py,06_author_top_edge_statistics.py,reproducibility/code/02_network_construction/06_author_top_edge_statistics.py,networkx; numpy; pandas; scipy; tqdm,Windows/Linux,f404488bfd24455ade44d4f73986a44e0f96c57df2396c747a837e09a86ded46,39c75fc5e24737ba78e08dd7d0177b791316de18a22907e497ac7a467a4dabe8,verified
03_network_metrics,01,macro_for_new.py,01_batch_network_metrics.py,reproducibility/code/03_network_metrics/01_batch_network_metrics.py,networkx; numpy; pandas; scipy,Windows/Linux,1e578799a5dfe78c60cb004e9cd01022dba42baefdfa15a17ecce67e0f3dfe2a,c75f5bb02de316a3cdaa45fcc77dc6462542ea38c1575177f8816e98394914e3,verified
03_network_metrics,02,component_size_time.py,02_temporal_component_statistics.py,reproducibility/code/03_network_metrics/02_temporal_component_statistics.py,networkx; numpy; pandas; scipy,Windows/Linux,93f801a908871c078ae76de89b9b78bfb6164c189ca0168ed3a3e49b5fb604a8,84935dc019df0bd1aa728f2a21b8eded2fb29ed7ab65e09f2970a083384d2bef,verified
03_network_metrics,03,network_degree_time.py,03_temporal_degree_statistics.py,reproducibility/code/03_network_metrics/03_temporal_degree_statistics.py,networkx; numpy; pandas; scipy,Windows/Linux,56dae4ef29693a5ba2e1bb069a98d5235b5b2e4e2ab2409b6ce1f84d983084aa,b2b16ba9316eacf542cf5d8806ec863aff27522e962e6df916887f5ca074f86c,verified
03_network_metrics,04,node_edge_time.py,04_temporal_node_edge_statistics.py,reproducibility/code/03_network_metrics/04_temporal_node_edge_statistics.py,networkx; numpy; pandas; scipy,Windows/Linux,009cb231b6771b40275ead44d9bd30e387e838ac2f2452ad13114b71461aa802,28ed33d75914bd0c9b9e6bf44ade006bf79767de4fe93e235754f4595dbc3f6e,verified
03_network_metrics,05,assort_cluster_time.py,05_temporal_assortativity_clustering.py,reproducibility/code/03_network_metrics/05_temporal_assortativity_clustering.py,networkx; numpy; pandas; scipy,Windows/Linux,b819e2cf2c1ca973967368486783836e3b63d7f47142d0d26060562ba4f7b6dc,1b1b2b9995c2aff0aa31b687a53e5152aff06faf1afdcb145b4bc26a53602f08,verified
03_network_metrics,06,path_centrality_time.py,06_global_first_normalized_metrics.py,reproducibility/code/03_network_metrics/06_global_first_normalized_metrics.py,networkx; numpy; pandas; scipy,Windows/Linux,fab3e7e335f85d4af712f1e46699b5e99492235e6219f5eb8b77922cffa412aa,0d1e8e1fd64d2101a71a7aa4a74d3fcffe56431ab6d3e6f73ba7b8056c19057b,verified
03_network_metrics,07,path_centrality_time2.py,07_global_first_structural_entropy.py,reproducibility/code/03_network_metrics/07_global_first_structural_entropy.py,networkx; numpy; pandas; scipy,Windows/Linux,ae0834c4b83ead1a425b48333c2ec5ce6980e0bb19ed637a51dcb83294ca15fa,a38b55097745b6f10254e0d12e1b20b678445d5ad2778341cb7a5a2632d60c24,verified
03_network_metrics,08,CC_degree2.py,08_degree_clustering_log_binning.py,reproducibility/code/03_network_metrics/08_degree_clustering_log_binning.py,matplotlib; networkx; numpy; pandas,Windows/Linux,c22bb8bbe5a4285878e93c32e1381305009289af3cf685094cdda79be041855d,bd67783e662cd37f6e66c8f93b4f5d07534a5da93d2355842be9969d8447fb2a,verified
03_network_metrics,09,power_law2.py,09_degree_power_law_fit.py,reproducibility/code/03_network_metrics/09_degree_power_law_fit.py,matplotlib; networkx; numpy; pandas; sklearn,Windows/Linux,6aa3f8738c12445a11a843481fd946ac36bf6aef6c6c793664ba0f8d4e2555cd,930846970accdb73f2b853d155ac2599dedd3c202c6094df8f4d99b8cffc0acc,verified
04_community_analysis,01,net_community.py,01_infomap_community_semantics.py,reproducibility/code/04_community_analysis/01_infomap_community_semantics.py,infomap; networkx; numpy; pandas; scipy,Windows/Linux,233f5ff99849f6c06b6a5e9f040ab2d26d4e05079d4478ccef3a03c45531a02e,701c3b42dd7e1e2d0b20d16999baeb78119d5c7158044785e4db565fe35012f6,heavy_preflight_only
04_community_analysis,02,2025_community.py,02_community_metrics_2025.py,reproducibility/code/04_community_analysis/02_community_metrics_2025.py,infomap; networkx; numpy; pandas; scipy,Windows/Linux,9c3ee6f37940f1a974ad89eb1590a010eeddccd4e8bc19953063f5a30214ed1d,72764bd72a8a2bfc8f2f3d5eea929f3d49ac066e874f5d9e7735848cd6f531a5,verified
