year,pipeline,node_count,edge_count,avg_path_len,deg_centralization,str_centralization,clo_centralization,bet_centralization,struct_entropy,struct_entropy_norm
2006,S2,647,784,1.727272727,0.013317493,0.838124724,0.026060299,0.00017414,6.301478202,0.973601919
2007,S2,1514,1926,2.587121212,0.009566998,0.921637475,0.023380382,0.00033542,7.136094237,0.974543523
2008,S2,3213,5345,3.921871779,0.007997784,0.954535077,0.023263984,0.000665571,7.833347168,0.970079844
2009,S2,5072,9433,8.410492679,0.005381803,0.960304221,0.026018172,0.003368139,8.291567654,0.971878849
2010,S2,6860,13764,8.485806919,0.004519057,0.965754293,0.036669599,0.00393056,8.581690345,0.971498694
2011,S2,8934,20294,11.06657123,0.007665088,0.96823145,0.057116028,0.025607501,8.767723272,0.963739002
2012,S2,11180,26940,12.39949514,0.008784171,0.971725381,0.082324536,0.076159591,8.995462098,0.964984231
2013,S2,13485,34447,11.3864849,0.009115195,0.973658323,0.094934455,0.094584998,9.165508713,0.963844164
2014,S2,15995,43543,11.00401763,0.009414421,0.979458964,0.100069553,0.106136017,9.330031806,0.963843767
2015,S2,18639,53151,10.9506717,0.008279502,0.982953551,0.103618292,0.095886982,9.470307852,0.963114294
2016,S2,21418,62217,10.05655579,0.009208042,0.985216139,0.114695739,0.063574736,9.613303577,0.964031483
2017,S2,24185,76028,9.803876127,0.009747448,0.98675257,0.120881594,0.075416515,9.650247156,0.956087081
2018,S2,26947,86291,9.644453639,0.010005771,0.987551593,0.123040476,0.072428297,9.762530042,0.956958712
2019,S2,30007,98156,9.401116311,0.00924736,0.987913727,0.126906351,0.073937759,9.868507682,0.957254398
2020,S2,33339,110586,8.979759814,0.008710282,0.988394167,0.144323931,0.14833743,9.978430168,0.958130691
2021,S2,37509,132063,8.824231071,0.008184246,0.988827032,0.144971537,0.138349936,10.06554059,0.955680315
2022,S2,41256,149968,8.653258157,0.007920148,0.989101952,0.151836248,0.163165374,10.14595219,0.954684399
2023,S2,45284,171327,8.445544196,0.007628657,0.989557421,0.151135108,0.113417439,10.21529902,0.9528572
2024,S2,49815,193704,8.51813236,0.007131275,0.989619237,0.148774269,0.115811141,10.31490657,0.953665314
2025,S2,52316,203296,8.467754128,0.006924247,0.989836721,0.149595232,0.122413432,10.36952753,0.954392835
2006,S5-S2,352,322,1.607142857,0.014814815,0.854171754,0.028921568,0.000274812,5.693459667,0.970981829
2007,S5-S2,763,707,2.431372549,0.012035207,0.924605701,0.023348662,0.000321696,6.436211796,0.969712895
2008,S5-S2,1637,1897,3.404977376,0.009597512,0.950243431,0.0270849,0.000715764,7.191890034,0.9717975
2009,S5-S2,2528,3331,8.164235005,0.006877113,0.95587455,0.033718125,0.005316521,7.603262371,0.970401656
2010,S5-S2,3377,4862,8.069024008,0.005963402,0.959257922,0.046662662,0.006883457,7.884984749,0.970491742
2011,S5-S2,4258,6764,10.70238362,0.011239228,0.961455676,0.068687471,0.030730279,8.103651184,0.96973709
2012,S5-S2,5220,9036,11.6155744,0.011412292,0.964865505,0.093266133,0.086560834,8.283481725,0.967669004
2013,S5-S2,6135,11545,10.81446033,0.011290989,0.966717207,0.104271135,0.096758284,8.414774022,0.96480275
2014,S5-S2,7089,14312,10.27506252,0.011143408,0.973755972,0.111983716,0.096055458,8.548649193,0.964174233
2015,S5-S2,8116,17440,10.14656428,0.010686838,0.977876928,0.114026703,0.090111492,8.662205285,0.962297851
2016,S5-S2,9111,20392,9.434676357,0.011695614,0.980073334,0.119198457,0.063117532,8.778461639,0.962843072
