year,pipeline,cumulative_nodes,cumulative_edges,assortativity,avg_clustering,active_jaccard_nodes,active_jaccard_edges,active_overlap_nodes,active_current_nodes
2006,S2,647,784,0.8576944929705719,0.6272330280058255,,,0,647
2007,S2,1514,1926,0.5057918940571962,0.6098333952722406,0.08718626155878467,0.03686396677050883,132,999
2008,S2,3213,5345,0.6199783995529863,0.6725290059654739,0.0876068376068376,0.02149851000425713,246,2055
2009,S2,5072,9433,0.482136867045172,0.6939810532761252,0.1207361963190184,0.033419354838709676,492,2512
2010,S2,6860,13764,0.4193918818928048,0.7048001137608003,0.11841822480120352,0.03730593097285826,551,2692
2011,S2,8934,20294,0.778569537156886,0.7167719285089998,0.12826376977320372,0.033030977237720346,673,3228
2012,S2,11180,26940,0.5998268818199244,0.7242694123469821,0.13278553820870995,0.03943405477341178,808,3665
2013,S2,13485,34447,0.4462719381320603,0.7266666193519459,0.13097003856422426,0.03767188999040614,883,3960
2014,S2,15995,43543,0.33061106956036995,0.7340453134361505,0.12875825805581773,0.03144175943524301,955,4412
2015,S2,18639,53151,0.2975265045455818,0.7368839151722373,0.12503091763541924,0.03769486944350596,1011,4685
2016,S2,21418,62217,0.24461533915739758,0.7420741495583478,0.1289158029579597,0.03512445861691495,1107,5009
2017,S2,24185,76028,0.6190826358102858,0.7461296507056231,0.1274290819745365,0.02677692459145501,1141,5086
2018,S2,26947,86291,0.536409537810516,0.7486358318643882,0.1260144768589603,0.02867932994316482,1149,5181
2019,S2,30007,98156,0.5055531254746606,0.7518314739751101,0.12872628726287264,0.029045976089224105,1235,5648
2020,S2,33339,110586,0.44189813191276855,0.7552134972458875,0.13009764503159105,0.03007546611423498,1359,6157
2021,S2,37509,132063,0.39660841279076,0.763340559986266,0.1276347579771724,0.02901134521880065,1532,7378
2022,S2,41256,149968,0.37143105476156624,0.7676205954739028,0.13261480787253982,0.0662303907917943,1698,7124
2023,S2,45284,171327,0.3610604025967388,0.7722344518536373,0.12416937104002472,0.028797264592908368,1607,7425
2024,S2,49815,193704,0.32065914496360004,0.7759287329269857,0.12946908361395715,0.031038549878949655,1807,8339
2025,S2,52316,203296,0.31007594751446477,0.7766438495104062,0.11447672499174645,0.026697492637547133,1387,5164
2006,S5-S2,352,322,0.6277708431971772,0.4699540043290043,,,0,352
2007,S5-S2,763,707,0.32202724242271613,0.411080567895771,0.14154652686762778,0.10042432814710042,108,519
2008,S5-S2,1637,1897,0.2822665900735808,0.4914835938633057,0.13414634146341464,0.05899532710280374,198,1155
2009,S5-S2,2528,3331,0.3234945398656546,0.5042627508114977,0.19347426470588236,0.09033833275200558,421,1442
2010,S5-S2,3377,4862,0.26959314360858694,0.5097609627755506,0.19003476245654694,0.09545584452700771,492,1639
2011,S5-S2,4258,6764,0.2510473870645195,0.5329015450440178,0.20238907849829352,0.09065288868013152,593,1884
