Year,Size
2006,6
2007,4
2007,3
2007,2
2008,3
2008,7
2008,9
2008,5
2008,2
2008,3
2008,4
2008,3
2008,2
2009,2
2009,7
2009,6
2009,13
2009,30
2009,3
2009,15
2009,10
2009,8
2009,4
2009,4
2009,4
2009,2
2009,4
2009,2
2009,6
2009,6
2009,4
2009,4
2009,4
2009,2
2009,2
2009,2
2009,4
2009,3
2010,7
2010,17
2010,51
2010,8
2010,5
2010,5
2010,2
2010,9
2010,10
2010,24
2010,10
2010,18
2010,15
2010,14
2010,3
2010,4
2010,3
2010,4
2010,4
2010,4
2010,6
2010,5
2010,2
2010,6
2010,4
2010,5
2010,4
2010,5
2010,5
2010,7
2010,7
2010,4
2010,6
2010,3
2010,6
2010,3
2010,6
2010,3
2010,3
2011,54
2011,50
2011,62
2011,30
2011,14
2011,64
2011,13
2011,103
2011,66
2011,20
2011,39
2011,18
2011,24
2011,63
2011,38
2011,57
2011,44
2011,39
2011,20
2011,17
2011,11
2011,20
2011,25
2011,25
2011,7
2011,17
2012,51
2012,62
2012,53
2012,63
2012,83
2012,135
2012,21
2012,126
2012,32
2012,20
2012,25
2012,62
2012,17
2012,85
2012,12
2012,83
2012,49
2012,69
2012,69
2012,71
2012,74
2012,35
2012,22
2012,45
2012,35
2012,37
2012,79
2012,54
2012,19
2012,17
2012,57
2012,20
2012,25
2012,20
2012,9
2012,34
2012,10
2012,10
2013,136
2013,62
2013,297
2013,56
2013,51
2013,28
2013,84
2013,113
2013,182
2013,33
2013,88
2013,34
2013,364
2013,44
2013,28
2013,128
2013,81
2013,56
2013,61
2013,67
2013,48
2013,48
2013,53
2013,10
2013,54
2013,31
2013,27
2013,53
2013,17
2013,27
2013,25
2013,16
2013,26
2013,25
2013,13
2013,14
2014,56
2014,137
2014,136
2014,85
2014,50
2014,129
2014,40
2014,75
2014,40
2014,38
2014,51
2014,173
2014,55
2014,23
2014,88
2014,47
2014,63
2014,44
2014,137
2014,58
2014,32
2014,38
2014,60
2014,48
2014,35
2014,32
2014,69
2014,15
2014,9
2014,65
2014,108
2014,40
2014,10
2014,140
2014,60
2014,79
2014,83
2014,98
2014,32
2014,43
2014,69
2014,50
2014,29
2014,20
2014,19
2014,56
2014,16
2014,57
2014,67
2014,23
2014,28
2014,11
2014,26
2014,17
2014,29
2014,32
2014,53
2014,22
2014,30
2015,73
2015,857
2015,267
2015,118
2015,147
2015,98
