Year,CommunityID,Size,Avg_Degree,Avg_Weighted_Degree,Avg_Citations_Per_Paper,Total_Citations,Paper_Count
2006,1,6,5.0,2.0,4.0,8,2
2007,1,4,3.25,2.05,20.8571,146,7
2007,2,3,2.3333,2.0667,8.6667,26,3
2007,3,2,2.0,1.2,20.0,80,4
2008,1,3,1.6667,0.8333,4.25,17,4
2008,2,7,3.8571,2.8393,70.0,1470,21
2008,3,9,2.5556,5.0185,36.8158,1399,38
2008,4,5,1.8,1.7,27.2727,300,11
2008,5,2,4.0,3.0,28.4,142,5
2008,6,3,2.6667,2.7222,133.6,668,5
2008,7,4,2.0,1.8889,98.8421,1878,19
2008,8,3,3.0,1.375,125.3333,376,3
2008,9,2,1.5,1.1667,47.0,141,3
2009,1,2,1.5,2.0,74.0,222,3
2009,2,7,3.0,3.6,14.0,210,15
2009,3,6,3.3333,4.4667,281.4211,5347,19
2009,4,13,2.6154,2.1363,58.0741,1568,27
2009,5,30,2.9667,1.9439,161.8276,9386,58
2009,6,3,3.3333,2.1667,69.3333,208,3
2009,7,15,2.2667,1.4222,96.303,3178,33
2009,8,10,4.4,3.1533,35.7778,644,18
2009,9,8,3.5,2.5625,43.4783,1000,23
2009,10,4,2.5,1.2333,38.7778,349,9
2009,11,4,2.25,1.375,146.75,1174,8
2009,12,4,4.5,2.4833,17.4,174,10
2009,13,2,2.0,1.6667,165.0,660,4
2009,14,4,3.0,2.0,15.7143,110,7
2009,15,2,2.0,2.5,481.75,1927,4
2009,16,6,4.1667,2.287,118.3636,1302,11
2009,17,6,3.0,1.1778,88.2857,618,7
2009,18,4,4.5,2.8,20.0,200,10
2009,19,4,3.75,2.193,47.75,382,8
2009,20,4,2.75,1.725,116.8571,818,7
2009,21,2,2.0,0.95,15.0,60,4
2009,22,2,1.5,3.0,216.0,1080,5
2009,23,2,2.0,1.4,148.3333,445,3
2009,24,4,2.25,2.625,100.0,900,9
2009,25,3,3.0,0.6667,14.25,57,4
2010,1,7,4.0,4.7571,274.4231,7135,26
2010,2,17,3.4118,2.198,119.963,3239,27
2010,3,51,3.5098,2.2451,58.1951,4772,82
2010,4,8,3.0,2.5,144.7895,2751,19
2010,5,5,2.8,1.8667,124.0,1984,16
2010,6,5,2.6,2.5833,129.7273,1427,11
2010,7,2,2.0,1.25,64.8,324,5
2010,8,9,4.6667,2.9926,184.7727,4065,22
2010,9,10,2.4,1.4833,159.4706,2711,17
2010,10,24,3.0417,2.3681,128.6739,5919,46
2010,11,10,3.8,2.7667,68.7059,1168,17
2010,12,18,3.7222,3.5741,17.6364,776,44
2010,13,15,2.7333,2.2015,77.9688,2495,32
2010,14,14,5.0714,3.5448,37.4231,973,26
2010,15,3,3.6667,1.5111,38.75,310,8
2010,16,4,3.75,2.693,47.8889,431,9
2010,17,3,3.0,1.8056,113.7143,796,7
2010,18,4,4.25,0.8611,44.6667,268,6
2010,19,4,2.5,1.75,145.875,1167,8
2010,20,4,4.75,2.2083,225.3636,2479,11
2010,21,6,2.3333,1.875,176.8333,2122,12
2010,22,5,2.0,1.6,24.5556,221,9
2010,23,2,1.5,3.0,216.0,1080,5
2010,24,6,3.3333,2.7778,64.6,646,10
2010,25,4,2.75,2.0417,69.0833,829,12
2010,26,5,3.2,2.0,204.0,1428,7
2010,27,4,2.25,1.65,97.4286,682,7
2010,28,5,2.6,1.4333,73.3333,660,9
2010,29,5,3.4,2.05,148.5,891,6
2010,30,7,3.0,2.131,103.2727,1136,11
2010,31,7,2.5714,1.4286,54.6923,711,13
2010,32,4,3.75,1.5958,32.2727,355,11
2010,33,6,4.6667,2.5509,112.3077,1460,13
2010,34,3,3.6667,2.1556,25.4,127,5
2010,35,6,2.8333,1.9028,292.0,4088,14
2010,36,3,3.6667,2.3333,43.25,346,8
2010,37,6,4.5,1.875,108.3636,1192,11
2010,38,3,2.0,3.5556,337.8889,3041,9
2010,39,3,2.6667,2.0,223.0,669,3
2011,1,54,2.8704,2.2207,113.4902,11576,102
2011,2,50,4.0,4.2657,69.9006,11254,161
2011,3,62,3.9032,2.7436,135.552,16944,125
2011,4,30,2.8667,1.8667,220.2941,11235,51
2011,5,14,2.8571,1.8929,138.8333,3332,24
2011,6,64,4.0156,4.3953,44.1024,9041,205
2011,7,13,2.6923,2.5256,128.5909,2829,22
2011,8,103,3.7087,2.3309,78.7941,13395,170
2011,9,66,5.2879,4.526,29.5977,5150,174
2011,10,20,4.9,2.8036,86.7812,2777,32
2011,11,39,3.4103,2.4771,123.775,9902,80
2011,12,18,2.6667,1.837,79.7857,2234,28
2011,13,24,2.8333,2.2639,133.9149,6294,47
2011,14,63,3.5238,3.5942,58.1322,10115,174
2011,15,38,3.3947,2.1679,139.5694,10049,72
2011,16,57,4.4211,2.847,86.6931,8756,101
2011,17,44,4.8636,3.7197,54.4322,6423,118
2011,18,39,5.8974,4.9594,214.8723,20198,94
2011,19,20,2.7,2.3667,143.3023,6162,43
2011,20,17,2.8824,1.7549,66.85,2674,40
2011,21,11,2.2727,1.3636,126.2667,1894,15
2011,22,20,3.3,2.375,95.2391,4381,46
2011,23,25,3.0,2.2033,71.1786,3986,56
2011,24,25,2.52,1.7967,74.2745,3788,51
2011,25,7,2.8571,2.2952,61.3846,798,13
2011,26,17,2.4706,3.0588,47.325,1893,40
2012,1,51,4.8431,2.1314,46.913,3237,69
2012,2,62,3.6613,3.3806,51.5625,9075,176
2012,3,53,6.2453,2.0013,81.2742,5039,62
2012,4,63,3.6349,2.7543,105.7218,14061,133
2012,5,83,4.0964,2.3017,49.7941,8465,170
2012,6,135,3.9852,2.5749,74.0318,16287,220
2012,7,21,4.9524,3.051,76.9189,2846,37
2012,8,126,7.0873,1.999,66.7154,8673,130
2012,9,32,4.9688,4.3969,25.0667,2256,90
