Year,Nodes,Edges,Communities,Avg_Degree,Total_Citations,Avg_Citations,Avg_g_index,Max_g_index,Avg_h_index,Avg_Paper_Count
2006,6,15,1,5.0,48,8.0,2.0,2,2.0,2.0
2007,9,12,3,2.6667,284,31.56,2.5556,6,2.0,2.7778
2008,38,50,9,2.6316,10360,272.63,4.4474,36,3.7895,4.4474
2009,151,228,25,3.0199,54219,359.07,3.457,17,3.2649,3.4636
2010,307,516,39,3.3616,120101,391.21,3.5375,22,3.355,3.5407
2011,940,1767,26,3.7596,373836,397.7,4.3138,62,3.8723,4.3298
2012,1790,3921,38,4.381,641580,358.42,4.1229,72,3.743,4.1447
2013,2480,5969,36,4.8137,852453,343.73,4.2532,80,3.8371,4.2911
2014,3275,8061,59,4.9227,1047283,319.78,4.3218,91,3.8766,4.3902
2015,4243,10761,53,5.0724,1253795,295.5,4.3703,93,3.8819,4.4593
2016,5165,13627,76,5.2767,1481431,286.82,4.4416,96,3.9171,4.5578
2017,6117,16362,92,5.3497,1686776,275.75,4.4813,98,3.9423,4.6183
2018,7175,19949,98,5.5607,1925785,268.4,4.5043,106,3.9548,4.65
2019,8290,23317,104,5.6253,2132260,257.21,4.5269,107,3.9622,4.6824
2020,9499,27195,110,5.7259,2354365,247.85,4.5417,108,3.9554,4.7075
2021,11099,32922,110,5.9324,2641052,237.95,4.5263,111,3.9177,4.6965
2022,12646,40642,118,6.4276,2842000,224.74,4.5235,111,3.862,4.7079
2023,14177,47494,88,6.7001,3055978,215.56,4.5084,111,3.7771,4.7219
2024,16007,54563,119,6.8174,3149395,196.75,4.4687,111,3.6224,4.7279
2025,17119,58099,135,6.7877,3181004,185.82,4.4167,111,3.4828,4.7329
