publication_year,total_papers,single_author_papers,multi_author_papers,valid_address_papers,cross_institution_papers,cross_institution_rate,cross_country_papers,cross_country_rate,valid_keyword_papers,valid_keyword_rate,avg_authors,single_rate,valid_address_rate,col_cross_country_rate,col_cross_institution_rate
1966,668,607,61,380,6,0.008982036,3,0.004491018,0,0,1.128742515,0.908682635,0.568862275,0.049180328,0.098360656
1967,864,758,106,434,4,0.00462963,1,0.001157407,0,0,1.173611111,0.877314815,0.502314815,0.009433962,0.037735849
1968,870,738,132,350,15,0.017241379,3,0.003448276,0,0,1.225287356,0.848275862,0.402298851,0.022727273,0.113636364
1969,802,718,84,245,3,0.003740648,1,0.001246883,0,0,1.120947631,0.895261845,0.305486284,0.011904762,0.035714286
1970,850,720,130,283,5,0.005882353,0,0,0,0,1.204705882,0.847058824,0.332941176,0,0.038461538
1971,744,626,118,203,2,0.002688172,1,0.001344086,0,0,1.204301075,0.841397849,0.272849462,0.008474576,0.016949153
1972,801,675,126,270,8,0.009987516,1,0.001248439,0,0,1.225967541,0.842696629,0.337078652,0.007936508,0.063492063
1973,916,746,170,752,10,0.010917031,5,0.005458515,0,0,1.231441048,0.81441048,0.820960699,0.029411765,0.058823529
1974,888,715,173,680,27,0.030405405,12,0.013513514,0,0,1.28490991,0.80518018,0.765765766,0.069364162,0.156069364
1975,1102,898,204,902,24,0.021778584,20,0.01814882,0,0,1.253176044,0.814882033,0.818511797,0.098039216,0.117647059
1976,1205,995,210,946,13,0.010788382,11,0.009128631,0,0,1.209128631,0.825726141,0.785062241,0.052380952,0.061904762
1977,1339,1062,277,951,21,0.015683346,11,0.008215086,0,0,1.269604182,0.793129201,0.710231516,0.039711191,0.075812274
1978,1679,1346,333,186,2,0.001191185,1,0.000595593,0,0,1.288266825,0.801667659,0.110780226,0.003003003,0.006006006
1979,1673,1329,344,189,7,0.0041841,2,0.001195457,17,0.010161387,1.283323371,0.794381351,0.112970711,0.005813953,0.020348837
1980,1631,1278,353,177,13,0.00797057,2,0.001226242,19,0.011649295,1.287553648,0.783568363,0.108522379,0.005665722,0.036827195
1981,1595,1255,340,185,12,0.007523511,0,0,20,0.012539185,1.289655172,0.786833856,0.115987461,0,0.035294118
1982,1586,1228,358,220,18,0.011349306,5,0.003152585,23,0.014501892,1.29445145,0.774274905,0.138713745,0.01396648,0.05027933
1983,1584,1235,349,246,8,0.005050505,2,0.001262626,20,0.012626263,1.285984848,0.779671717,0.15530303,0.005730659,0.022922636
1984,1660,1298,362,258,2,0.001204819,1,0.00060241,0,0,1.278915663,0.781927711,0.155421687,0.002762431,0.005524862
1985,1631,1226,405,266,12,0.007357449,10,0.006131208,0,0,1.321888412,0.751686082,0.163090129,0.024691358,0.02962963
1986,1625,1224,401,283,6,0.003692308,3,0.001846154,0,0,1.313846154,0.753230769,0.174153846,0.007481297,0.014962594
1987,1727,1287,440,301,1,0.000579039,1,0.000579039,0,0,1.367110596,0.74522293,0.174290677,0.002272727,0.002272727
1988,1651,1196,455,291,6,0.003634161,4,0.002422774,0,0,1.364627498,0.724409449,0.176256814,0.008791209,0.013186813
1989,1631,1223,408,281,4,0.002452483,3,0.001839362,0,0,1.353157572,0.74984672,0.172286941,0.007352941,0.009803922
1990,2052,1590,462,280,15,0.007309942,5,0.002436647,38,0.018518519,1.330896686,0.774853801,0.136452242,0.010822511,0.032467532
1991,2039,1515,524,345,23,0.011280039,10,0.004904365,106,0.051986268,1.387444826,0.74301128,0.169200589,0.019083969,0.04389313
1992,1967,1450,517,355,21,0.010676157,5,0.002541942,125,0.063548551,1.382816472,0.737163193,0.180477885,0.00967118,0.040618956
1993,1972,1368,604,352,25,0.012677485,8,0.004056795,133,0.067444219,1.471602434,0.693711968,0.178498986,0.013245033,0.041390728
1994,2473,1586,887,478,21,0.00849171,11,0.004448039,216,0.087343308,1.672462596,0.641326324,0.193287505,0.012401353,0.02367531
1995,2396,1664,732,416,7,0.002921536,4,0.001669449,199,0.083055092,1.4778798,0.694490818,0.173622705,0.005464481,0.009562842
1996,2325,1537,788,429,6,0.002580645,2,0.000860215,240,0.103225806,1.607311828,0.661075269,0.184516129,0.002538071,0.007614213
1997,2295,1401,894,590,8,0.003485839,3,0.00130719,238,0.103703704,1.744662309,0.610457516,0.25708061,0.003355705,0.008948546
1998,2277,1322,955,1429,30,0.013175231,6,0.002635046,268,0.117698726,1.798418972,0.580588494,0.627580149,0.006282723,0.031413613
1999,2290,1293,997,1401,34,0.014847162,12,0.005240175,354,0.154585153,1.831004367,0.564628821,0.611790393,0.012036108,0.034102307
