Network,BoxSize,MinBoxes
Overall,2,10270
Overall,3,3571
Overall,4,2092
Overall,5,1170
Overall,6,752
Overall,7,460
Overall,8,291
Overall,9,177
Overall,10,90
Overall,11,45
Overall,12,26
Overall,13,16
Overall,14,11
Overall,15,6
Overall,16,2
Overall,17,2
Overall,18,2
Overall,19,1
Active,2,4392
Active,3,1789
Active,4,1088
Active,5,651
Active,6,437
Active,7,276
Active,8,174
Active,9,113
Active,10,53
Active,11,30
Active,12,16
Active,13,13
Active,14,6
Active,15,3
Active,16,2
Active,17,2
Active,18,1
Backbone,2,657
Backbone,3,218
Backbone,4,131
Backbone,5,77
Backbone,6,53
Backbone,7,36
Backbone,8,28
Backbone,9,22
Backbone,10,12
Backbone,11,10
Backbone,12,6
Backbone,13,4
Backbone,14,3
Backbone,15,3
Backbone,16,3
Backbone,17,3
Backbone,18,3
Backbone,19,3
Backbone,20,3
Backbone,21,2
Backbone,22,2
Backbone,23,2
Backbone,24,2
Backbone,25,1
