ds,Ps
2,0.3866913935726312
3,0.08272126107220419
4,0.05673360825748518
5,0.0465581610990459
6,0.04477684780752056
7,0.05016959078597399
8,0.04750982162465533
9,0.044752446255581856
10,0.050804031136380275
11,0.03996974207559601
12,0.03953051414069935
13,0.030794758546643566
14,0.027671359898489543
15,0.017032283253214906
16,0.012444791488738683
17,0.007954905932017276
18,0.006149191088553232
19,0.003318611063663649
20,0.0021473365706058904
21,0.0009516605256094287
22,0.0005856372465288792
23,0.0004392279348966594
24,0.0002196139674483297
25,4.88031038774066e-05
26,2.44015519387033e-05
