slice_label,year_end,method,pipeline,time_mode,cumulative_nodes,cumulative_edges,new_nodes,new_edges_unique,link_repeated,link_intra_comp,link_merge,link_growth,link_new_cluster
2006-2006,2006,newman,S2,disjoint,647,784,647,784,0,0,0,0,784
2007-2007,2007,newman,S2,disjoint,1514,1926,867,1142,71,3,12,203,924
2008-2008,2008,newman,S2,disjoint,3213,5345,1699,3419,167,6,58,714,2641
2009-2009,2009,newman,S2,disjoint,5072,9433,1859,4088,335,60,102,1067,2859
2010-2010,2010,newman,S2,disjoint,6860,13764,1788,4331,533,81,180,1676,2394
2011-2011,2011,newman,S2,disjoint,8934,20294,2074,6530,678,149,209,2245,3927
2012-2012,2012,newman,S2,disjoint,11180,26940,2246,6646,986,225,233,2747,3441
2013-2013,2013,newman,S2,disjoint,13485,34447,2305,7507,1085,425,265,3367,3450
2014-2014,2014,newman,S2,disjoint,15995,43543,2510,9096,1306,445,299,3887,4465
2015-2015,2015,newman,S2,disjoint,18639,53151,2644,9608,1490,634,370,4307,4297
2016-2016,2016,newman,S2,disjoint,21418,62217,2779,9066,1585,647,340,4224,3855
2017-2017,2017,newman,S2,disjoint,24185,76028,2767,13811,1613,660,343,4760,8048
2018-2018,2018,newman,S2,disjoint,26947,86291,2762,10263,1824,880,357,5185,3841
2019-2019,2019,newman,S2,disjoint,30007,98156,3060,11865,1698,890,363,4955,5657
2020-2020,2020,newman,S2,disjoint,33339,110586,3332,12430,1852,1118,396,5820,5096
2021-2021,2021,newman,S2,disjoint,37509,132063,4170,21477,2335,1827,471,9430,9749
2022-2022,2022,newman,S2,disjoint,41256,149968,3747,17905,4229,1982,615,8889,6419
2023-2023,2023,newman,S2,disjoint,45284,171327,4028,21359,2843,2570,698,9335,8756
2024-2024,2024,newman,S2,disjoint,49815,193704,4531,22377,3248,1856,504,10245,9772
2025-2025,2025,newman,S2,disjoint,52316,203296,2501,9592,2086,957,271,5292,3072
2006-2006,2006,newman,S5-S2,disjoint,352,322,352,322,0,0,0,0,322
2007-2007,2007,newman,S5-S2,disjoint,763,707,411,385,71,3,9,76,297
2008-2008,2008,newman,S5-S2,disjoint,1637,1897,874,1190,167,6,35,337,812
2009-2009,2009,newman,S5-S2,disjoint,2528,3331,891,1434,335,60,77,496,801
2010-2010,2010,newman,S5-S2,disjoint,3377,4862,849,1531,533,81,148,729,573
2011-2011,2011,newman,S5-S2,disjoint,4258,6764,881,1902,678,149,162,944,647
2012-2012,2012,newman,S5-S2,disjoint,5220,9036,962,2272,986,225,176,1179,692
2013-2013,2013,newman,S5-S2,disjoint,6135,11545,915,2509,1085,425,172,1272,640
2014-2014,2014,newman,S5-S2,disjoint,7089,14312,954,2767,1306,445,217,1330,775
2015-2015,2015,newman,S5-S2,disjoint,8116,17440,1027,3128,1490,634,261,1550,683
2016-2016,2016,newman,S5-S2,disjoint,9111,20392,995,2952,1585,647,237,1456,612
2017-2017,2017,newman,S5-S2,disjoint,10060,23344,949,2952,1613,660,253,1469,570
2018-2018,2018,newman,S5-S2,disjoint,10961,26687,901,3343,1824,880,261,1705,497
2019-2019,2019,newman,S5-S2,disjoint,12032,30137,1071,3450,1698,890,262,1731,567
2020-2020,2020,newman,S5-S2,disjoint,13163,34154,1131,4017,1852,1118,251,1955,693
2021-2021,2021,newman,S5-S2,disjoint,14408,41390,1245,7236,2335,1827,344,3175,1890
2022-2022,2022,newman,S5-S2,disjoint,15366,46450,958,5060,4229,1982,459,2028,591
2023-2023,2023,newman,S5-S2,disjoint,16254,52211,888,5761,2843,2570,473,2126,592
2024-2024,2024,newman,S5-S2,disjoint,16958,56506,704,4295,3248,1856,290,1692,457
2025-2025,2025,newman,S5-S2,disjoint,17119,58099,161,1593,2086,957,180,409,47
2006-2006,2006,newman,S5-S3-S2,disjoint,49,37,49,37,0,0,0,0,37
2007-2007,2007,newman,S5-S3-S2,disjoint,88,69,39,32,5,0,0,10,22
2008-2008,2008,newman,S5-S3-S2,disjoint,205,215,117,146,28,2,4,44,96
2009-2009,2009,newman,S5-S3-S2,disjoint,317,430,112,215,79,9,26,87,93
2010-2010,2010,newman,S5-S3-S2,disjoint,401,594,84,164,100,21,14,90,39
2011-2011,2011,newman,S5-S3-S2,disjoint,511,903,110,309,157,39,31,179,60
2012-2012,2012,newman,S5-S3-S2,disjoint,622,1296,111,393,228,48,34,211,100
2013-2013,2013,newman,S5-S3-S2,disjoint,743,1869,121,573,234,169,13,297,94
2014-2014,2014,newman,S5-S3-S2,disjoint,845,2187,102,318,293,120,7,159,32
2015-2015,2015,newman,S5-S3-S2,disjoint,930,2682,85,495,291,222,32,208,33
2016-2016,2016,newman,S5-S3-S2,disjoint,1025,3043,95,361,329,146,15,159,41
2017-2017,2017,newman,S5-S3-S2,disjoint,1115,3458,90,415,366,186,4,188,37
2018-2018,2018,newman,S5-S3-S2,disjoint,1206,3968,91,510,454,220,42,206,42
2019-2019,2019,newman,S5-S3-S2,disjoint,1291,4361,85,393,381,177,25,160,31
2020-2020,2020,newman,S5-S3-S2,disjoint,1409,4998,118,637,435,262,24,294,57
2021-2021,2021,newman,S5-S3-S2,disjoint,1507,6231,98,1233,634,695,29,414,95
2022-2022,2022,newman,S5-S3-S2,disjoint,1553,7000,46,769,615,597,11,149,12
2023-2023,2023,newman,S5-S3-S2,disjoint,1597,7798,44,798,596,591,5,192,10
2024-2024,2024,newman,S5-S3-S2,disjoint,1629,8242,32,444,555,321,0,111,12
2025-2025,2025,newman,S5-S3-S2,disjoint,1632,8366,3,124,312,109,4,11,0
