author_id,first_year,membership,degree_overall,degree_active,degree_backbone
author_12739,2008,Backbone,370,191,39
author_12188,2008,Backbone,254,162,31
author_12738,2008,Backbone,308,155,28
author_24111,2009,Backbone,260,152,27
author_23759,2009,Backbone,209,117,24
author_2500,2006,Backbone,196,129,23
author_20617,2009,Backbone,207,125,23
author_4381,2006,Backbone,299,174,22
author_23162,2009,Backbone,255,121,22
author_15704,2008,Backbone,363,171,21
author_73659,2015,Backbone,196,124,21
author_24152,2009,Backbone,219,104,21
author_23151,2009,Backbone,223,109,18
author_5262,2006,Backbone,155,109,18
author_6557,2007,Backbone,112,74,18
author_5691,2006,Backbone,126,92,16
author_6690,2007,Backbone,102,72,16
author_23163,2009,Backbone,321,164,15
author_37422,2011,Backbone,237,108,15
author_112772,2018,Backbone,145,104,15
author_18007,2009,Backbone,167,103,15
author_87714,2016,Backbone,138,91,15
author_13874,2008,Backbone,172,68,15
author_9405,2007,Backbone,75,47,15
author_4189,2006,Backbone,147,110,14
author_37075,2011,Backbone,86,68,14
author_3965,2006,Backbone,93,65,14
author_39905,2011,Backbone,210,94,13
author_17215,2008,Backbone,129,86,13
author_23220,2009,Backbone,165,79,13
author_43957,2012,Backbone,127,86,12
author_23158,2009,Backbone,150,80,12
author_15013,2008,Backbone,99,78,12
author_30974,2010,Backbone,110,75,12
author_53427,2013,Backbone,123,68,12
author_100658,2017,Backbone,124,58,12
author_3212,2006,Backbone,85,58,12
author_4210,2006,Backbone,69,58,12
author_20533,2009,Backbone,75,54,12
author_3657,2006,Backbone,170,119,11
author_18390,2009,Backbone,115,84,11
author_65539,2014,Backbone,150,80,11
author_41633,2012,Backbone,120,72,11
author_21439,2009,Backbone,132,70,11
author_24116,2009,Backbone,100,67,11
author_62893,2014,Backbone,116,62,11
author_15831,2008,Backbone,78,61,11
author_12693,2008,Backbone,84,41,11
author_3238,2006,Backbone,166,128,10
author_13967,2008,Backbone,139,94,10
author_96557,2017,Backbone,140,92,10
author_100011,2017,Backbone,119,82,10
author_37520,2011,Backbone,115,79,10
author_21908,2009,Backbone,115,79,10
author_44217,2012,Backbone,103,68,10
author_2410,2006,Backbone,74,58,10
author_17995,2009,Backbone,68,48,10
