,Degree,Strength,Constraint,EffSize,LeaderRank,Katz,Betweenness,W_Betweenness,Closeness,W_Closeness,ViralRank,CoreHD,TotalCites,G-index,ActiveSpan
Degree,1,0.56226322,0.883122816,0.932409236,0.562386119,0.544566672,0.644037312,0.50419647,0.474848583,0.093911962,0.802927467,0.502768819,0.407037895,0.50822611,0.313054539
Strength,0.56226322,1,0.477684496,0.574920984,0.999190977,0.986879743,0.55309013,0.547214074,0.374714921,0.518027758,0.472326753,0.394110011,0.50167039,0.777029191,0.489579875
Constraint,0.883122816,0.477684496,1,0.927338367,0.478677936,0.468749383,0.722124616,0.609001745,0.525514853,0.158669078,0.783200377,0.462876479,0.389072463,0.473811323,0.329817075
EffSize,0.932409236,0.574920984,0.927338367,1,0.575241761,0.560841744,0.782686177,0.650908842,0.511495499,0.171613808,0.783227186,0.489658924,0.442821225,0.572904968,0.39921002
LeaderRank,0.562386119,0.999190977,0.478677936,0.575241761,1,0.985233794,0.554209884,0.54859005,0.372100269,0.514925892,0.47129328,0.393910407,0.501651312,0.776904224,0.490001803
Katz,0.544566672,0.986879743,0.468749383,0.560841744,0.985233794,1,0.529154621,0.514471575,0.431146705,0.583005791,0.496954453,0.382425041,0.496750108,0.759707252,0.476837977
Betweenness,0.644037312,0.55309013,0.722124616,0.782686177,0.554209884,0.529154621,1,0.862442573,0.342508556,0.196165581,0.460756355,0.406442152,0.429427113,0.612829621,0.478071739
W_Betweenness,0.50419647,0.547214074,0.609001745,0.650908842,0.54859005,0.514471575,0.862442573,1,0.226476184,0.18830767,0.315591412,0.388506857,0.430095297,0.632691001,0.502096309
Closeness,0.474848583,0.374714921,0.525514853,0.511495499,0.372100269,0.431146705,0.342508556,0.226476184,1,0.653192506,0.792946443,0.292844195,0.304541603,0.31170842,0.197280509
W_Closeness,0.093911962,0.518027758,0.158669078,0.171613808,0.514925892,0.583005791,0.196165581,0.18830767,0.653192506,1,0.399254653,0.118789518,0.247091396,0.367265494,0.267639262
ViralRank,0.802927467,0.472326753,0.783200377,0.783227186,0.47129328,0.496954453,0.460756355,0.315591412,0.792946443,0.399254653,1,0.419444043,0.368207988,0.39679804,0.243630078
CoreHD,0.502768819,0.394110011,0.462876479,0.489658924,0.393910407,0.382425041,0.406442152,0.388506857,0.292844195,0.118789518,0.419444043,1,0.344769901,0.414300769,0.300347551
TotalCites,0.407037895,0.50167039,0.389072463,0.442821225,0.501651312,0.496750108,0.429427113,0.430095297,0.304541603,0.247091396,0.368207988,0.344769901,1,0.650330776,0.49969781
G-index,0.50822611,0.777029191,0.473811323,0.572904968,0.776904224,0.759707252,0.612829621,0.632691001,0.31170842,0.367265494,0.39679804,0.414300769,0.650330776,1,0.688275445
ActiveSpan,0.313054539,0.489579875,0.329817075,0.39921002,0.490001803,0.476837977,0.478071739,0.502096309,0.197280509,0.267639262,0.243630078,0.300347551,0.49969781,0.688275445,1
