step,removed_count,removed_frac,lcc_ratio,pair_ratio,num_components,eff_ratio,cap_in_lcc_ratio,cap_remaining_ratio
0,0,0.0,1.0,1.0,1,1.0002471146833796,1.0,1.0
1,1162,0.02000034424000413,0.9681640282726794,0.9373757661169788,45,0.799460232311509,0.9838434657736991,1.0
2,2324,0.04000068848000826,0.9323558619078217,0.8693423473265747,135,0.7349719980491417,0.9727359663804258,1.0
3,3486,0.06000103272001239,0.894912085986331,0.8009664259491273,283,0.6586487707793466,0.9542697840053015,1.0
4,4648,0.08000137696001652,0.8722472107015596,0.7609107606793134,431,0.5822158981311851,0.9426614993253702,1.0
5,5810,0.10000172120002065,0.8597464805187219,0.73926516910782,482,0.552216215380311,0.9338262385083451,1.0
6,6972,0.12000206544002479,0.8249313628132484,0.6806049740638441,806,0.48698299357719277,0.916072095476774,1.0
7,8134,0.14000240968002892,0.8051872188796074,0.648450441624886,869,0.4384497101987587,0.906696124871267,1.0
8,9296,0.16000275392003305,0.7724750277469479,0.5968668315967045,1008,0.3902245823488515,0.8906351579564188,1.0
9,10458,0.18000309816003718,0.7536655178456686,0.5681908257012975,1073,0.3734776114924215,0.8712472540116265,1.0
10,11620,0.2000034424000413,0.724516618961388,0.5250876081200385,1802,0.34030407391998085,0.8586987001588178,1.0
11,12782,0.22000378664004544,0.6862550382615807,0.47107754907895066,2840,0.31188405280246995,0.8459520956276697,1.0
12,13944,0.24000413088004957,0.6446638238214849,0.4157016429006357,3397,0.2914211574449151,0.8255425016755716,1.0
13,15106,0.2600044751200537,0.6016706583328465,0.36209911443657483,3736,0.24158602972101975,0.8046358948306886,1.0
14,16268,0.28000481936005783,0.5641100531573106,0.31834688639356945,3883,0.2072401082829006,0.7784535951542343,1.0
15,17430,0.30000516360006196,0.5337928617325778,0.2850902496432589,4016,0.18379009634987,0.7545240433523503,1.0
16,18592,0.3200055078400661,0.5128804252584848,0.2631983120076948,4149,0.1804013474722128,0.7399066458262863,1.0
17,19754,0.3400058520800702,0.4909165254979847,0.2411570311230935,4272,0.15799361011957294,0.7219453354978491,1.0
18,20916,0.36000619632007436,0.4717565278345698,0.2227110855612808,4415,0.135580481641837,0.7019346721978343,1.0
19,22078,0.3800065405600785,0.45323909106840354,0.2055827757889573,4564,0.12140020360297424,0.6836366757162204,1.0
20,23240,0.4000068848000826,0.44325018984753783,0.19662073396030336,4786,0.11121290308375523,0.6715757037715137,1.0
21,24402,0.42000722904008675,0.4070331210935218,0.16590083718827897,5099,0.09279565699861535,0.6433264466187405,1.0
22,25564,0.4400075732800909,0.3744377592149074,0.14042365831023554,5397,0.07192103750258703,0.607416714974266,1.0
23,26726,0.460007917520095,0.3426602021146095,0.11759645192326389,5697,0.05644211189638892,0.5665500577804995,1.0
24,27888,0.48000826176009914,0.31140837665751503,0.09717754021950127,5951,0.05024113449040189,0.5094118083473017,1.0
25,29050,0.5000086060001032,0.2657865529528594,0.07107698533923901,6254,0.036721806975123145,0.4587262386340916,1.0
26,30212,0.5200089502401074,0.14591973830247093,0.02862974647935848,6543,0.025472565554527104,0.16124280258685622,1.0
27,31374,0.5400092944801115,0.13855949529762251,0.02267931002436154,6872,0.021730213345834595,0.15509883043215286,1.0
28,32536,0.5600096387201157,0.13108242303872888,0.018806848176248458,7243,0.018377738292809316,0.14678510306808792,1.0
