step,removed_count,removed_frac,lcc_ratio,pair_ratio,num_components,eff_ratio,cap_in_lcc_ratio,cap_remaining_ratio
0,0,0.0,1.0,1.0,1,1.0002471146833796,1.0,1.0
1,1162,0.02000034424000413,0.934400373853613,0.873113220002678,719,0.8478273095671743,0.9724376328982924,1.0
2,2324,0.04000068848000826,0.8672819674046381,0.7521932221820166,1511,0.7793089109781817,0.9448073627068686,1.0
3,3486,0.06000103272001239,0.80793270634967,0.6527744821868181,2328,0.6809448287881159,0.9178360039786181,1.0
4,4648,0.08000137696001652,0.7730007593901513,0.5975568121491177,2705,0.5769819046342306,0.8980567141694886,1.0
5,5810,0.10000172120002065,0.7666335650446872,0.5877545319775925,2748,0.5619659745621822,0.8930413165151632,1.0
6,6972,0.12000206544002479,0.757754541737251,0.5742227314170456,2801,0.5176886548897257,0.8887112370811228,1.0
7,8134,0.14000240968002892,0.7388866172089491,0.5459979766385308,2878,0.44277443684230205,0.8763758234821459,1.0
8,9296,0.16000275392003305,0.7238156434371167,0.523961773506296,2951,0.40141387016485947,0.8688596430560918,1.0
9,10458,0.18000309816003718,0.7100297914597815,0.5041997687152047,3041,0.3858941731860176,0.8574638698976801,1.0
10,11620,0.2000034424000413,0.6973538173958759,0.48636236856973386,3126,0.34136030653772015,0.8485185809260221,1.0
11,12782,0.22000378664004544,0.6710088206086804,0.450328856468805,3244,0.31046695171280836,0.8261492283568332,1.0
12,13944,0.24000413088004957,0.6448974823295753,0.4159765786215118,3390,0.27257547947140487,0.8056877639889796,1.0
13,15106,0.2600044751200537,0.6135288276184356,0.37652878309937826,3525,0.23158426551158814,0.7743687213219475,1.0
14,16268,0.28000481936005783,0.5930837081605234,0.3518650615154343,3648,0.19507888512150767,0.7544595982903511,1.0
15,17430,0.30000516360006196,0.5468777381856417,0.2992554247372302,3830,0.16388840714553418,0.7254646646153227,1.0
16,18592,0.3200055078400661,0.49740054909749404,0.24766574051602971,4118,0.12343256803636837,0.6900076202356237,1.0
17,19754,0.3400058520800702,0.46778433319703255,0.21908361843991506,4227,0.11143978959854739,0.6454980880250386,1.0
18,20916,0.36000619632007436,0.3971610491267013,0.15806299198873316,4564,0.06904692871997722,0.5614491525317165,1.0
19,22078,0.3800065405600785,0.3235586190782172,0.10515710521459848,4729,0.05424195451272177,0.45709122025624616,1.0
20,23240,0.4000068848000826,0.27881301477890064,0.07814297122946191,5118,0.03647592204289044,0.40135535824538415,1.0
21,24402,0.42000722904008675,0.2196389976050003,0.04891983069162925,5338,0.025575002510643756,0.23753035205237089,1.0
22,25564,0.4400075732800909,0.1772883930136106,0.03192743951927717,5553,0.015688609488781858,0.18780202728446743,1.0
23,26726,0.460007917520095,0.1166540101641451,0.014598988499443709,6070,0.010974094250315205,0.10952956990937453,1.0
24,27888,0.48000826176009914,0.09206145218762778,0.009318283011817766,6307,0.009900261707555369,0.08177984057863492,1.0
25,29050,0.5000086060001032,0.07617267363747883,0.006468578769394565,6606,0.008576179236779025,0.0690062005580628,1.0
26,30212,0.5200089502401074,0.07167474735673812,0.0055856368021186455,6898,0.007433541454748209,0.06567234747268473,1.0
27,31374,0.5400092944801115,0.06992230854605994,0.005246321460176488,7481,0.006307371557218562,0.06427624737347076,1.0
28,32536,0.5600096387201157,0.06559962614638705,0.0046173080608411105,7688,0.0051661251875955005,0.06097666019910695,1.0
29,33698,0.5800099829601197,0.05829779776856125,0.0036899016356784884,8008,0.005039306086513159,0.05487324127853973,1.0
30,34860,0.6000103272001239,0.03960511712132718,0.001847953789668891,8288,0.0026532471021207048,0.04053468653293111,1.0
31,36022,0.620010671440128,0.03101816694900403,0.0012332727558840998,8689,0.0021994142873478883,0.033218442982152804,1.0
32,37184,0.6400110156801322,0.02838950873298674,0.0010467609055191285,9320,0.001736008417564271,0.030426557149880983,1.0
33,38346,0.6600113599201363,0.02558560663590163,0.0008667532191397331,9560,0.0015048058370596559,0.02529893077782989,1.0
34,39508,0.6800117041601405,0.0062503650914188915,0.0002740962537510104,9895,0.0010852854402741835,0.0077720744771147725,1.0
35,40670,0.7000120484001445,0.005198901805011975,0.00021959231504292123,10350,0.0008467908064969769,0.07734759214386401,1.0
36,41832,0.7200123926401487,0.005198901805011975,0.0001915350032436532,10660,0.0009011556901629921,0.07734759214386401,1.0
37,42994,0.7400127368801528,0.005198901805011975,0.00015225749669906853,10918,0.0008979113534856841,0.07734759214386401,1.0
38,44156,0.760013081120157,0.005140487177989369,0.00014203374260631651,11477,0.000867738324805517,0.07657173647062374,1.0
39,45318,0.780013425360161,0.004147438518605059,0.00012050106960055376,12146,0.0006591778140638874,0.0639269865740502,1.0
40,46480,0.8000137696001652,0.003329633740288568,0.00010107730181152023,12401,0.0006248243439101127,0.001153409426709303,1.0
41,47642,0.8200141138401693,0.003329633740288568,8.896986538926251e-05,12834,0.0004697307188114326,0.001153409426709303,1.0
42,48804,0.8400144580801735,0.003212804486243355,7.719002589387534e-05,13113,0.0003888338070956025,0.0010072291641255403,1.0
43,49966,0.8600148023201776,0.003212804486243355,6.55193853741117e-05,13695,0.0004728382619437961,0.0010072291641255403,1.0
44,51128,0.8800151465601818,0.003154389859220749,5.681076706813602e-05,14057,0.000402008132118106,0.0008201813012495426,1.0
45,52290,0.9000154908001858,0.003154389859220749,4.307899588347844e-05,14524,0.0003000159101721201,0.0008201813012495426,1.0
46,53452,0.92001583504019,0.003037560605175536,3.224099755284413e-05,14898,0.00021587958019857612,0.0007041801896508147,1.0
47,54614,0.9400161792801941,0.00280390209708511,2.6978971914985787e-05,15307,0.00022458333847170136,0.000613957102851804,1.0
48,55776,0.9600165235201983,0.00280390209708511,2.2201516731456807e-05,15801,6.76519393047462e-05,0.000613957102851804,1.0
49,56938,0.9800168677602024,0.00280390209708511,1.6386671279504394e-05,16357,7.279506919341112e-05,0.000613957102851804,1.0
50,58099,1.0,5.841462702260646e-05,0.0,17119,0.0,0.00010625576075981042,1.0
