step,removed_count,removed_frac,lcc_ratio,pair_ratio,num_components,eff_ratio,cap_in_lcc_ratio,cap_remaining_ratio
0,0,0.0,1.0,1.0,1.0,0.9998316182737534,1.0,1.0
1,1162,0.02000034424000413,0.9953945908055377,0.9908118569831117,47.67,0.9835381631239614,0.9982088453834073,1.0
2,2324,0.04000068848000826,0.9904486243355336,0.9809913353274569,98.48,0.9689655580077041,0.9962986560218094,1.0
3,3486,0.06000103272001239,0.9852637420410071,0.9707494513382781,150.49,0.9512150814838465,0.9942893501548568,1.0
4,4648,0.08000137696001652,0.9799626146387055,0.9603337608677976,205.19,0.9358529751757017,0.9922083939536072,1.0
5,5810,0.10000172120002065,0.9741328348618494,0.9489448412155099,264.58,0.9198557616573345,0.9898573217763952,1.0
6,6972,0.12000206544002479,0.9680729014545243,0.9371776105163419,327.35,0.8995625672965314,0.9875027884278046,1.0
7,8134,0.14000240968002892,0.9613131608154681,0.92413972013026,394.28,0.8829448843571579,0.9846467656123664,1.0
8,9296,0.16000275392003305,0.9541147263274723,0.9103546092044731,466.88,0.865842159855593,0.981601906190624,1.0
9,10458,0.18000309816003718,0.9464992114025352,0.8958831529601716,542.88,0.8462267529765738,0.978376742060054,1.0
10,11620,0.2000034424000413,0.9383731526374204,0.8805678434091604,624.97,0.8262145502302254,0.974958085560408,1.0
11,12782,0.22000378664004544,0.9301098194988024,0.8651307127776814,712.22,0.8052148391350985,0.9713914569110885,1.0
12,13944,0.24000413088004957,0.9209983059758163,0.8482688646809775,804.17,0.7827615806363555,0.9674043792463008,1.0
13,15106,0.2600044751200537,0.9115859571236637,0.8310230883420873,901.27,0.7642806291793509,0.9632739631889805,1.0
14,16268,0.28000481936005783,0.9014475144576202,0.8126483725895802,1005.64,0.7415926846009152,0.9586978356518885,1.0
15,17430,0.30000516360006196,0.8905082072550967,0.7930540143655758,1116.23,0.7194888811824945,0.9538067258010363,1.0
16,18592,0.3200055078400661,0.8791599976634149,0.7729792337468295,1234.01,0.6965239482812077,0.9486399136876282,1.0
17,19754,0.3400058520800702,0.8676079210234242,0.7528047342615287,1359.9,0.6721787279195979,0.9432044316825757,1.0
18,20916,0.36000619632007436,0.8551381505929085,0.7313300931403791,1492.13,0.6457241610311055,0.9372505410241547,1.0
19,22078,0.3800065405600785,0.8418441497751037,0.7087715375272415,1633.97,0.6215611601037199,0.9309894863382756,1.0
20,23240,0.4000068848000826,0.8278818856241602,0.6854643389212428,1783.47,0.5997569908596165,0.9243628080945513,1.0
21,24402,0.42000722904008675,0.813087797184415,0.6611935806344789,1942.76,0.5728092563690703,0.9169599409494613,1.0
22,25564,0.4400075732800909,0.7975541795665635,0.6361826899135179,2112.85,0.5461332519575536,0.9091792999945929,1.0
23,26726,0.460007917520095,0.7808738828202582,0.6098570734875186,2295.83,0.5167594335580623,0.9004733379775693,1.0
24,27888,0.48000826176009914,0.7634926105496816,0.5830166591022489,2489.88,0.4910493001474325,0.891001576860639,1.0
25,29050,0.5000086060001032,0.7451217944973422,0.5553109220726694,2696.76,0.46532169642969556,0.8810622778217191,1.0
26,30212,0.5200089502401074,0.7261498919329399,0.5274003023760584,2917.43,0.4359845522206016,0.8704181195622515,1.0
