step,removed_count,removed_frac,lcc_ratio,pair_ratio,num_components,eff_ratio,cap_in_lcc_ratio,cap_remaining_ratio
0,0,0.0,1.0,1.0,1,1.0002471146833796,1.0,1.0
1,1162,0.02000034424000413,0.9897774402710439,0.9796594249113753,137,0.9459256044483318,0.9945165111392503,1.0
2,2324,0.04000068848000826,0.9675798820024534,0.9362116367874723,455,0.9250840290284733,0.9868384321428078,1.0
3,3486,0.06000103272001239,0.9502891524037619,0.9030507538889117,688,0.8774608891279129,0.9788330979778711,1.0
4,4648,0.08000137696001652,0.9431625679070039,0.8895587973045953,770,0.8387054726455998,0.9731883392790452,1.0
5,5810,0.10000172120002065,0.9271569601028098,0.8596230583765234,983,0.8272451912301261,0.9664011739689733,1.0
6,6972,0.12000206544002479,0.8909398913487937,0.7937786968509561,1452,0.7703448145431667,0.9467966717426322,1.0
7,8134,0.14000240968002892,0.85186050587067,0.7256793014044673,1955,0.6879599493493851,0.9297696576301068,1.0
8,9296,0.16000275392003305,0.8416963607687364,0.7084657618316698,2098,0.6517897381924311,0.9225854478648879,1.0
9,10458,0.18000309816003718,0.8305975816344413,0.6899056487408427,2257,0.6467363109677031,0.9172163882849566,1.0
10,11620,0.2000034424000413,0.8222442899702085,0.6760990489581391,2374,0.6168974520723247,0.9126244418428898,1.0
11,12782,0.22000378664004544,0.8075238039605117,0.6521116785294633,2560,0.6023231600034928,0.9047329082264594,1.0
12,13944,0.24000413088004957,0.7976517319936912,0.6362718620700095,2679,0.5919498427082688,0.901708705804834,1.0
13,15106,0.2600044751200537,0.7759799053683042,0.6021674044729579,2966,0.5661329863064074,0.8881230580030707,1.0
14,16268,0.28000481936005783,0.737718324668497,0.5442521784905577,3436,0.4928908630837451,0.8637603096380891,1.0
15,17430,0.30000516360006196,0.7054734505520183,0.49771582018999105,3876,0.45965231983564564,0.8402985346764732,1.0
16,18592,0.3200055078400661,0.6621297973012442,0.43844020019420904,4461,0.39201912371555964,0.8129037247359638,1.0
17,19754,0.3400058520800702,0.6104328523862376,0.37265974054418943,5122,0.3569096789099106,0.769223490445155,1.0
18,20916,0.36000619632007436,0.5946024884631111,0.3535840649647638,5375,0.29941410436416943,0.7571832666667505,1.0
19,22078,0.3800065405600785,0.587943220982534,0.34570758380265515,5484,0.3263876836057918,0.7546142664391494,1.0
20,23240,0.4000068848000826,0.5735732227349728,0.3290158037603227,5701,0.2937464872187802,0.741739714882471,1.0
21,24402,0.42000722904008675,0.5434896898183305,0.295409975985712,6134,0.2906866491988289,0.7207183643906138,1.0
22,25564,0.4400075732800909,0.507038962556224,0.2571248765565299,6653,0.22718916102837927,0.6895759955033065,1.0
23,26726,0.460007917520095,0.46906945499152986,0.22006664126834993,7264,0.193177065589917,0.6507395149455958,1.0
24,27888,0.48000826176009914,0.4185408026169753,0.17523006057246704,7948,0.1669922241564822,0.6015874233418128,1.0
25,29050,0.5000086060001032,0.3770080028039021,0.14218621167603085,8729,0.1331137817681458,0.5519005949065138,1.0
26,30212,0.5200089502401074,0.37449617384193,0.1402980521885246,8786,0.13487673363510203,0.5495783721114466,1.0
27,31374,0.5400092944801115,0.34663239675214674,0.1202176777840028,9151,0.12370628374507968,0.5229738786873578,1.0
28,32536,0.5600096387201157,0.314387522635668,0.09890092527772763,9652,0.09460253987884576,0.4904313229408074,1.0
29,33698,0.5800099829601197,0.28523862375138737,0.08141143306859339,10292,0.09005399660625583,0.4478497983655475,1.0
30,34860,0.6000103272001239,0.2366960686956014,0.05608193898014477,11118,0.05585951199346631,0.36226455546739333,1.0
31,36022,0.620010671440128,0.21321338863251357,0.0455191015932738,11607,0.04342830492928489,0.31930830643406927,1.0
32,37184,0.6400110156801322,0.19598107366084466,0.03846196764501237,11992,0.038450230468153775,0.3020778974185509,1.0
33,38346,0.6600113599201363,0.14399205561072492,0.021039230134663973,12590,0.029221003616547267,0.1333063397593967,1.0
34,39508,0.6800117041601405,0.13371108125474618,0.01811503854099358,13085,0.025498073208465245,0.12234627809333154,1.0
35,40670,0.7000120484001445,0.11723815643437116,0.013955506235838215,13475,0.018732884123675877,0.11034629318290703,1.0
36,41832,0.7200123926401487,0.09912962205736317,0.010003192636800433,14003,0.018399930668513025,0.09582257677135898,1.0
37,42994,0.7400127368801528,0.09363864711723816,0.008885977917196204,14386,0.01400939794244201,0.09150978747590384,1.0
38,44156,0.760013081120157,0.08213096559378469,0.006854522073927966,14775,0.011175341663009784,0.08175689184924005,1.0
39,45318,0.780013425360161,0.07126584496757989,0.005166421934699955,15138,0.011267612975554573,0.0690222332320236,1.0
40,46480,0.8000137696001652,0.06203633389800806,0.003920523047259385,15498,0.006002180782593048,0.0639640817804693,1.0
41,47642,0.8200141138401693,0.050411823120509375,0.002604422868364846,15771,0.004773535406403947,0.05600464507432245,1.0
42,48804,0.8400144580801735,0.042175360710321866,0.001836904218322986,16039,0.003614118191255936,0.05105337811584015,1.0
43,49966,0.8600148023201776,0.033354752029908286,0.001164702624128506,16301,0.003072519924966112,0.043007805082923505,1.0
44,51128,0.8800151465601818,0.025118289619720777,0.0006667621202212336,16513,0.0015618951309922095,0.03636116144462566,1.0
45,52290,0.9000154908001858,0.014720486009696828,0.0002549454834010357,16685,0.0004902062159524443,0.022661713094356373,1.0
46,53452,0.92001583504019,0.005958291956305859,7.472622400636969e-05,16840,0.00016299765493307274,0.08752488208125485,1.0
47,54614,0.9400161792801941,0.005958291956305859,7.472622400636969e-05,16840,0.0004016125067420542,0.08752488208125485,1.0
48,55776,0.9600165235201983,0.004322682399672878,4.0062374181878716e-05,16914,0.00011258179451162163,0.07404140328022223,1.0
49,56938,0.9800168677602024,0.003329633740288568,1.108369602578723e-05,17056,0.00010958822916616784,0.06377357588987628,1.0
50,58099,1.0,5.841462702260646e-05,0.0,17119,0.0,0.00010625576075981042,1.0
