step,removed_count,removed_frac,lcc_ratio,pair_ratio,num_components,eff_ratio,cap_in_lcc_ratio,cap_remaining_ratio
0,0,0.0,1.0,1.0,1,1.0002471146833796,1.0,1.0
1,1162,0.02000034424000413,0.9989485367135931,0.9978986499873967,7,0.9710556784420296,0.9998010062231925,1.0
2,2324,0.04000068848000826,0.9962614638705531,0.9925380517992303,23,0.9872439947309434,0.9965089638365748,1.0
3,3486,0.06000103272001239,0.9954436590922366,0.99090920575415,34,0.9813306405208387,0.9957962957607095,1.0
4,4648,0.08000137696001652,0.995385244465214,0.9907929088451108,35,0.9603572189248967,0.9957837211144658,1.0
5,5810,0.10000172120002065,0.9925229277411064,0.9851027208487687,84,0.961355910387678,0.9926233981472516,1.0
6,6972,0.12000206544002479,0.9910041474385186,0.9820903579072183,96,0.9401323217434893,0.9881625423922762,1.0
7,8134,0.14000240968002892,0.9872071966820491,0.9745800482101192,117,0.9393628688423482,0.9858519511449844,1.0
8,9296,0.16000275392003305,0.9811904900987207,0.9627382246461937,154,0.92058009996663,0.9817174074600347,1.0
9,10458,0.18000309816003718,0.9733045154506689,0.9473281402804985,195,0.9098582981556483,0.9768922013301461,1.0
10,11620,0.2000034424000413,0.9661195163268883,0.9333926174571994,284,0.8821236287800089,0.9742150591448486,1.0
11,12782,0.22000378664004544,0.9520415912144401,0.9064377580410184,350,0.8389285239534263,0.9672571930120176,1.0
12,13944,0.24000413088004957,0.9426368362638005,0.8886011700629288,443,0.8521436264055617,0.963072979474405,1.0
13,15106,0.2600044751200537,0.93007769145394,0.8650846724420777,550,0.811833375625917,0.9580396629491821,1.0
14,16268,0.28000481936005783,0.9150067176821076,0.8372814325344057,667,0.7868081865871269,0.9496910409417907,1.0
15,17430,0.30000516360006196,0.9067118406448975,0.8221649023149302,772,0.7575150547538081,0.9457448025843413,1.0
16,18592,0.3200055078400661,0.8868508674572113,0.7865414664921476,941,0.7412721727155953,0.9367463857323034,1.0
17,19754,0.3400058520800702,0.87651147847421,0.7683113049311029,1099,0.7077665170263211,0.932088736763613,1.0
18,20916,0.36000619632007436,0.8641275775454174,0.7467561642361056,1204,0.6924555948945925,0.9281946831880752,1.0
19,22078,0.3800065405600785,0.8332262398504585,0.6943128511476482,1446,0.6224653225566289,0.9116976904147244,1.0
20,23240,0.4000068848000826,0.8200829487703721,0.6725815315553543,1658,0.6311736922211765,0.9037329094839239,1.0
21,24402,0.42000722904008675,0.811203925462936,0.6580975295772421,1752,0.5927299949800049,0.898145051059351,1.0
22,25564,0.4400075732800909,0.7944389275074478,0.6311810467760569,1896,0.5710637443823968,0.8916530755698515,1.0
23,26726,0.460007917520095,0.7716572229686314,0.5955054206678622,2095,0.5381374663004039,0.8810353586477728,1.0
24,27888,0.48000826176009914,0.7394123488521526,0.5467835881938463,2400,0.4840666394333827,0.8631205745104376,1.0
25,29050,0.5000086060001032,0.7214206437291898,0.5204970265084813,2761,0.465909304534328,0.85478452714929,1.0
26,30212,0.5200089502401074,0.7088030842923068,0.5024507833221306,2915,0.44384600188761686,0.8471680639194418,1.0
27,31374,0.5400092944801115,0.6933232081313161,0.4807515341039901,3064,0.4273216713768241,0.8393670677559664,1.0
28,32536,0.5600096387201157,0.6685554062737309,0.44702506876105935,3281,0.38869131451782496,0.8239474077995501,1.0
29,33698,0.5800099829601197,0.6467083357672762,0.4182902387424711,3519,0.3543876655481776,0.8102894557818853,1.0
30,34860,0.6000103272001239,0.6127694374671417,0.3755504558268952,3833,0.3163318627301215,0.7926135899231815,1.0
31,36022,0.620010671440128,0.577253344237397,0.3332917558233647,4215,0.2959996458528782,0.7722319745589757,1.0
32,37184,0.6400110156801322,0.5467024943045738,0.2989880169207362,4677,0.2462795823105262,0.7425400911158867,1.0
33,38346,0.6600113599201363,0.5271335942520007,0.2779529909466337,5124,0.2357730867350136,0.7307416149115185,1.0
34,39508,0.6800117041601405,0.5055201822536363,0.2556326452548906,5431,0.22471867398892048,0.7186250001571831,1.0
35,40670,0.7000120484001445,0.4709387230562533,0.22190789297088992,5790,0.18293636168423313,0.6886699922414433,1.0
36,41832,0.7200123926401487,0.430165313394474,0.18518594275307856,6230,0.14167270599313556,0.6557319638705265,1.0
37,42994,0.7400127368801528,0.389041415970559,0.1514909608398073,6740,0.11232948285834952,0.6194478221341438,1.0
38,44156,0.760013081120157,0.35656288334598985,0.12724519833506232,7354,0.09079447349802237,0.5922306290718277,1.0
39,45318,0.780013425360161,0.3289911793913196,0.10833669273744435,7906,0.07458569728041677,0.5651501852874125,1.0
40,46480,0.8000137696001652,0.2958116712424791,0.08761661025891207,8437,0.06179422226496123,0.5274284471192114,1.0
41,47642,0.8200141138401693,0.2650855774285881,0.07036410030168878,9113,0.053909043134068954,0.500978621843921,1.0
42,48804,0.8400144580801735,0.23628716630644314,0.05591345861062963,9787,0.04327576429371218,0.4671886611899891,1.0
43,49966,0.8600148023201776,0.19726619545534202,0.039019926635896714,10545,0.0308342588909436,0.4341868164893851,1.0
44,51128,0.8800151465601818,0.16321046790116245,0.026719296750953057,11289,0.01734367708802991,0.3923751746303997,1.0
45,52290,0.9000154908001858,0.12144400957999883,0.014826620589066912,12178,0.00948150929953295,0.33674682584492194,1.0
46,53452,0.92001583504019,0.0859863309772767,0.007460849386077558,13054,0.0060028546184252,0.28053910023376266,1.0
47,54614,0.9400161792801941,0.028039020970851102,0.0009512527514644077,13973,0.0012204793594262633,0.09979270695667154,1.0
48,55776,0.9600165235201983,0.01647292482037502,0.00032356338970846474,14966,0.000468552283042618,0.06340859678265101,1.0
49,56938,0.9800168677602024,0.0050236579239441555,4.509917693251355e-05,16030,0.00010169410423837546,0.02442153483617122,1.0
50,58099,1.0,5.841462702260646e-05,0.0,17119,0.0,0.00010625576075981042,1.0
