step,removed_count,removed_frac,lcc_ratio,pair_ratio,num_components,eff_ratio,cap_in_lcc_ratio,cap_remaining_ratio
0,0,0.0,1.0,1.0,1,0.9920539762200806,1.0,1.0
1,343,0.020036217068754015,0.9053098895963549,0.8197089968783493,393,0.6048836495625992,0.8067701266644116,0.8439734750412135
2,686,0.04007243413750803,0.808224779484783,0.6533646958251272,752,0.46144089289089496,0.6983590715384199,0.7691147197551464
3,1029,0.06010865120626205,0.7135930837081605,0.5093480158453992,1154,0.32563839909652587,0.6075493774921377,0.7123672274539736
4,1372,0.08014486827501606,0.6117179741807348,0.37437513360238733,1507,0.228279363498685,0.5260210298383781,0.668681020206199
5,1715,0.10018108534377008,0.5110695718207839,0.26145443166673105,1884,0.16654141401228356,0.444537950911096,0.6320705663997908
6,2058,0.1202173024125241,0.4183655587359075,0.17527569209440572,2281,0.11625266415097497,0.37841448800441624,0.5947298400127758
7,2401,0.14025351948127812,0.3328465447748116,0.11113034378069281,2642,0.07599018067693582,0.30610555661042865,0.5590269612990113
8,2744,0.16028973655003212,0.29633740288568255,0.08806375958928245,2968,0.06051388020769375,0.2703869595888594,0.5356629542119407
9,3087,0.18032595361878614,0.2206320462643846,0.04911120189640947,3382,0.036687452889630705,0.19866966530064092,0.5018836820073159
10,3430,0.20036217068754017,0.1031018166949004,0.01831926110021749,3656,0.020874013308065962,0.05592762536607939,0.47870892334621395
11,3773,0.22039838775629417,0.083124014253169,0.00947539986293208,3963,0.01270722725018615,0.0438999762339186,0.44572091075647813
12,4116,0.2404346048250482,0.0804953560371517,0.008935847724376271,4187,0.01550659706917565,0.04253531275031405,0.4335467669955775
13,4459,0.2604708218938022,0.06799462585431391,0.005184105343814988,4447,0.009174975927140677,0.036838683635732616,0.41046254578743063
14,4802,0.28050703896255624,0.06279572404930195,0.004293567222797257,4644,0.010992625507311771,0.03320366777281638,0.39080837370842664
15,5145,0.3005432560313102,0.054909749401250076,0.0032242362540039426,4889,0.007576857786824761,0.029896535810706306,0.3666131825046432
16,5488,0.32057947310006424,0.0542087738769788,0.0031393408753926325,5026,0.009593047669760423,0.02971357470785953,0.35429505904425146
17,5831,0.34061569016881826,0.05198901805011975,0.002871660061459504,5161,0.008293910106509265,0.028467741631258557,0.33853085378075604
18,6174,0.3606519072375723,0.04597231146679129,0.002238019355532079,5280,0.006284827918471554,0.024846872245366556,0.3207697946937508
19,6517,0.3806881243063263,0.03867048308896548,0.0015930014813318788,5387,0.005481280915299156,0.021014748802579312,0.3009398919334902
20,6860,0.40072434137508034,0.03411414218120217,0.0012479463682335103,5457,0.00393394429432953,0.01862556601626405,0.28736524694719023
21,7203,0.4207605584438343,0.029908289035574506,0.0009689634603233474,5500,0.0031293357549648207,0.01639953926496163,0.2725026438193727
22,7546,0.44079677551258833,0.01553829078801332,0.0003621174530395436,5544,0.002271551932324904,0.008762013502655137,0.25686167008906624
23,7889,0.46083299258134236,0.006892925988667562,0.00014390377506386928,5543,0.0015005027762986308,0.003902541461752327,0.24291418684163868
24,8232,0.4808692096500964,0.00280390209708511,7.377073296966389e-05,5546,0.0014424473932876268,0.000613957102851804,0.22858474871455678
25,8575,0.5009054267188504,0.00280390209708511,6.044845794359451e-05,5488,0.0012395990185247315,0.000613957102851804,0.21456747618047636
26,8918,0.5209416437876044,0.00280390209708511,4.710570810959572e-05,5434,0.0011528663517639797,0.000613957102851804,0.2012826767900952
27,9261,0.5409778608563585,0.00280390209708511,4.0581069316090435e-05,5355,0.0011787026628499826,0.000613957102851804,0.18663510011304607
28,9604,0.5610140779251125,0.00280390209708511,3.630865939482023e-05,5256,0.0009972070965517206,0.000613957102851804,0.17619720063225322
29,9947,0.5810502949938665,0.00280390209708511,2.9326749890891455e-05,5224,0.0013070777861994435,0.000613957102851804,0.16568416764015387
30,10290,0.6010865120626204,0.00280390209708511,2.562080965566826e-05,5181,0.0007037642846684497,0.000613957102851804,0.1556213069835813
31,10633,0.6211227291313745,0.0027454874700625037,2.381220162190372e-05,4963,0.0011156672945984523,0.0006013824566080395,0.14724753568370239
32,10976,0.6411589462001285,0.0025118289619720778,2.0775105112374585e-05,4754,0.0009680142975215955,0.0005510838716329812,0.1399290915698314
33,11319,0.6611951632688825,0.0024534143349494715,1.918489502985708e-05,4528,0.0009316385199937244,0.0005372517607648403,0.13204195907958619
34,11662,0.6812313803376365,0.0022197558268590455,1.6400321151457335e-05,4316,0.0014206242378131035,0.0004869531757897821,0.1251629988519348
35,12005,0.7012675974063906,0.002161341199836439,1.503533395616334e-05,4073,0.0013566336367313214,0.00047437852954601757,0.11845253888394985
36,12348,0.7213038144751446,0.0019860973187686196,1.28172297638106e-05,3857,0.0010017094200879398,0.0004366545908147239,0.10950536371535528
37,12691,0.7413400315438986,0.0019860973187686196,1.1493192184375427e-05,3616,0.0011467785305360717,0.0004366545908147239,0.10159276756646643
38,13034,0.7613762486126526,0.0019276826917460131,1.0080430437246144e-05,3372,0.0009505999194976302,0.0004240799445709594,0.09452141525128545
39,13377,0.7814124656814067,0.0018108534377008004,8.62671907425804e-06,3135,0.0013389246324355616,0.0003976731874590538,0.08678863654368243
40,13720,0.8014486827501607,0.001635609556632981,7.056983799669948e-06,2885,0.0011824582344649292,0.00035994924872776015,0.07847396608114922
41,14063,0.8214848998189147,0.0013435364215199485,5.398524357387745e-06,2630,0.0011952494124734397,0.000295818552884561,0.07049786796872937
