step,removed_count,removed_frac,lcc_ratio,pair_ratio,num_components,eff_ratio,cap_in_lcc_ratio,cap_remaining_ratio
0,0,0.0,1.0,1.0,1,0.9920539762200806,1.0,1.0
1,343,0.020036217068754015,0.9532682983819148,0.9087238590705047,201,0.7413154723980308,0.8189408123975952,0.8344431506530643
2,686,0.04007243413750803,0.9062445236287167,0.8212877820180422,421,0.6010943013610173,0.7166551818230974,0.7455866135345948
3,1029,0.06010865120626205,0.8456101407792511,0.7150757942241126,681,0.4637448516140457,0.632275218767408,0.6797388497468095
4,1372,0.08014486827501606,0.7794847829896606,0.6076346968852446,970,0.3301501346259385,0.5620162690773102,0.6329306722028643
5,1715,0.10018108534377008,0.6812313803376365,0.4641612954591155,1279,0.236802280568566,0.48284283829885155,0.59615328996757
6,2058,0.1202173024125241,0.5742157836322215,0.3299086009351486,1647,0.15422102129553597,0.40252700090914695,0.5587474897862436
7,2401,0.14025351948127812,0.4431333605934926,0.19671377148753458,1975,0.0831497640218644,0.32184461258143654,0.5290776119740811
8,2744,0.16028973655003212,0.33062678894795255,0.10973900550759366,2337,0.04252503271617427,0.24584753744415286,0.5033344818176902
9,3087,0.18032595361878614,0.18885448916408668,0.03652096950317626,2704,0.014423823991628419,0.13878417002933666,0.47806950258471853
10,3430,0.20036217068754017,0.0497692622232607,0.003705735487143899,3082,0.004520470134811555,0.04918321385323628,0.45853196034962546
11,3773,0.22039838775629417,0.02488463111163035,0.0013459865735355014,3387,0.0032477677430714827,0.028430017692527267,0.43795763853173403
12,4116,0.2404346048250482,0.012267071674747356,0.0006745561971063622,3715,0.0022879404054149174,0.014692531037370591,0.41791773917920255
13,4459,0.2604708218938022,0.005315731059057188,0.00042165136956229113,3965,0.0020172897077860357,0.004630927845422388,0.39927896978438254
14,4802,0.28050703896255624,0.003446462994333781,0.00029815415306806703,4200,0.0017732076236067,0.0026142689540786493,0.38335726707668394
15,5145,0.3005432560313102,0.003154389859220749,0.00023376088213007288,4391,0.0015942331096764051,0.001719897239990896,0.3679743879605307
16,5488,0.32057947310006424,0.0030959752321981426,0.0001909412338137003,4551,0.0014497070193274868,0.0065278132312942706,0.35542111861538056
17,5831,0.34061569016881826,0.0029791459781529296,0.00015292634042476258,4704,0.0014066511144075994,0.006511780557333471,0.3385525450455265
18,6174,0.3606519072375723,0.0014603656755651615,0.00012054201921641259,4850,0.0013090410579776424,0.0016221293654456266,0.3246041186996307
19,6517,0.3806881243063263,0.0014603656755651615,0.00010256513785439068,4947,0.0011894797645116825,0.0061401997608302285,0.3102970005696315
20,6860,0.40072434137508034,0.001401951048542555,8.705888331585092e-05,5047,0.001174193967461211,0.006077955261923594,0.29542025096478974
21,7203,0.4207605584438343,0.0011682925404521293,7.401643066481681e-05,5112,0.0010599057222491072,0.0009547300160578232,0.280232907597727
22,7546,0.44079677551258833,0.0011682925404521293,6.300098399879428e-05,5172,0.0010342454987379848,0.0009547300160578232,0.26615999225401793
23,7889,0.46083299258134236,0.0008178047783164905,5.291372862557167e-05,5207,0.0009752258580987733,0.000500470920501829,0.2489691933741674
24,8232,0.4808692096500964,0.0007009755242712775,4.552232296305469e-05,5214,0.0008726954640382233,9.399548067213999e-05,0.23647628233098733
25,8575,0.5009054267188504,0.0006425608972486711,3.887483532197294e-05,5203,0.0008175353009804064,0.0002546365864362321,0.2239377881951736
26,8918,0.5209416437876044,0.0006425608972486711,3.408373026649102e-05,5177,0.000796496939182801,0.0002546365864362321,0.2105055510775843
27,9261,0.5409778608563585,0.0005841462702260646,2.9415474058585564e-05,5121,0.0008187714722887318,0.00015969800729580976,0.19915976213799166
28,9604,0.5610140779251125,0.0005841462702260646,2.5381936896491814e-05,5044,0.0007715881307023242,0.00015969800729580976,0.18769671462217588
29,9947,0.5810502949938665,0.0005841462702260646,2.143712390209217e-05,4943,0.0006950574633782267,0.00015969800729580976,0.17680235548273437
30,10290,0.6010865120626204,0.00046731701618085166,1.8454626880374796e-05,4841,0.0007059179889294405,3.929576951176421e-05,0.1674012355847399
31,10633,0.6211227291313745,0.00046731701618085166,1.5786076913575038e-05,4719,0.000739801146005465,0.00018704786287599765,0.1582170283344504
32,10976,0.6411589462001285,0.00040890238915824523,1.3690821568798757e-05,4569,0.000653999005041702,0.00017541631510051544,0.14733555820740873
33,11319,0.6611951632688825,0.00035048776213563875,1.1472717376446017e-05,4427,0.0006103636786139791,1.2260280087670433e-05,0.13750910090021892
34,11662,0.6812313803376365,0.00035048776213563875,9.677759214634415e-06,4262,0.0006381613257426639,1.2260280087670433e-05,0.12810357987603913
35,12005,0.7012675974063906,0.0002920731351130323,7.978350156493394e-06,4091,0.0005499985683160575,1.4775209336423343e-05,0.11862135350977239
36,12348,0.7213038144751446,0.0002920731351130323,6.729386872799389e-06,3886,0.0005380868073341703,1.4775209336423343e-05,0.10966726228574375
37,12691,0.7413400315438986,0.0002920731351130323,5.739771156211244e-06,3659,0.0005360831900768001,1.4775209336423343e-05,0.09848462938116394
38,13034,0.7613762486126526,0.0002920731351130323,4.620481656070169e-06,3462,0.000543437366565953,1.4775209336423343e-05,0.09148589564804069
39,13377,0.7814124656814067,0.0002920731351130323,3.5899163236232034e-06,3259,0.0004765458944711935,1.4775209336423343e-05,0.08387792030440704
40,13720,0.8014486827501607,0.00023365850809042583,2.559350991176238e-06,3047,0.00041346090292946003,0.00015152448723736278,0.07664529815114976
41,14063,0.8214848998189147,0.00023365850809042583,1.8222579057174816e-06,2805,0.00042137355371585334,0.00015152448723736278,0.06890277409270784
42,14406,0.8415211168876686,0.00017524388106781937,1.1329393720940148e-06,2554,0.0002978137560571059,5.029858497505819e-06,0.06083456669655241
43,14749,0.8615573339564226,0.00017524388106781937,6.074193019058272e-07,2284,0.00017189912555952858,8.645069292588127e-05,0.05171197521285732
44,15092,0.8815935510251767,0.00017524388106781937,2.593475671058588e-07,1991,7.370054809074952e-05,3.143661560941137e-05,0.04300686198445522
45,15435,0.9016297680939307,5.841462702260646e-05,0.0,1684,0.0,1.194591393157632e-05,0.03393016795954988
46,15778,0.9216659851626847,5.841462702260646e-05,0.0,1341,0.0,1.194591393157632e-05,0.02769062849339391
47,16121,0.9417022022314387,5.841462702260646e-05,0.0,998,0.0,5.029858497505819e-06,0.02055828914393066
