step,removed_count,removed_frac,lcc_ratio,pair_ratio,num_components,eff_ratio,cap_in_lcc_ratio,cap_remaining_ratio
0,0,0.0,1.0,1.0,1.0,1.0017722496063655,1.0,1.0
1,343,0.020036217068754015,0.9706530755301128,0.9421720844680557,67.29,0.9765557301013063,0.9755306092038866,0.979453119203874
2,686,0.04007243413750803,0.9410648986506222,0.8856147301391991,132.88,0.9543456216240424,0.9517982687227051,0.9595290134812783
3,1029,0.06010865120626205,0.9111484315672645,0.83020715448347,203.09,0.929179150645795,0.9264455058843057,0.9383917467566844
4,1372,0.08014486827501606,0.8815135229861558,0.7770895673407594,271.01,0.9035628220065637,0.902426595502552,0.9183918190609003
5,1715,0.10018108534377008,0.8521239558385421,0.7261448154773114,339.56,0.8770437784605686,0.8784621364826954,0.8984907438029
6,2058,0.1202173024125241,0.8230556691395526,0.6774528802495847,406.55,0.8528706034400423,0.8548945993151849,0.8788066031982354
7,2401,0.14025351948127812,0.7941024592557976,0.6306372858359831,473.92,0.831445408997504,0.8312085995490732,0.8591286964744463
8,2744,0.16028973655003212,0.76465097260354,0.5847412819308639,545.47,0.8025569855996266,0.8065347481486976,0.8387122996387304
9,3087,0.18032595361878614,0.735752088322916,0.5413877733360412,613.83,0.7788813804754839,0.7824848035400145,0.8188138084705332
10,3430,0.20036217068754017,0.7068485308721304,0.49969715070047627,684.49,0.7517082222145774,0.758636578262712,0.7989351443758008
11,3773,0.22039838775629417,0.6782376307027279,0.46006919611488334,756.24,0.7238843178747019,0.7346784537209007,0.7791240092750591
12,4116,0.2404346048250482,0.6497973012442315,0.4222983549290346,826.79,0.6971570229171266,0.7105652900782269,0.7590791272189535
13,4459,0.2604708218938022,0.6214054559261639,0.38621360612274835,894.8,0.6718770305955695,0.6866272849704056,0.7391527171924337
14,4802,0.28050703896255624,0.5931170044979264,0.35186489812646704,965.72,0.6437614548619078,0.6624329928538286,0.7192365743645717
15,5145,0.3005432560313102,0.5656621297973012,0.32005356107380295,1032.93,0.6184905361831904,0.6387193508716116,0.699449095317076
16,5488,0.32057947310006424,0.538599217243998,0.2901669493998769,1101.45,0.5940553908329466,0.6148393400322666,0.67934896969636
17,5831,0.34061569016881826,0.5116654010164146,0.26188332006190407,1168.87,0.5636284719326948,0.5909555693736945,0.6594346910598037
18,6174,0.3606519072375723,0.4844634616507974,0.23478837098612973,1238.15,0.5404102728439801,0.5672898933795745,0.639678186509668
19,6517,0.3806881243063263,0.45794263683626385,0.20979654517782406,1306.44,0.510901697633176,0.5434703414393695,0.619447083373677
20,6860,0.40072434137508034,0.4321566680296746,0.1868403010913325,1368.7,0.4830807078016559,0.5201694150651807,0.5997192050057152
21,7203,0.4207605584438343,0.40638880775746244,0.16524481949651615,1433.95,0.45511395918884534,0.49620749612386533,0.5794850902419487
22,7546,0.44079677551258833,0.3816624802850634,0.14576248897934932,1494.65,0.4284230940058679,0.4733695305004332,0.5598495757943089
23,7889,0.46083299258134236,0.35662129797301245,0.12729005570451318,1554.78,0.3962625796466305,0.4495531222217891,0.5397175608707188
24,8232,0.4808692096500964,0.3325153338395934,0.11067840962420802,1611.78,0.37416987280981107,0.4265497371270203,0.5197723203114488
25,8575,0.5009054267188504,0.3091623342484958,0.09568254556953447,1666.86,0.3456566715885407,0.4034590651253504,0.499636064588413
26,8918,0.5209416437876044,0.28549681640282726,0.08160636368223342,1718.85,0.32093165089977044,0.37952599242251817,0.4790631196942852
27,9261,0.5409778608563585,0.2628290203867048,0.06916557288536473,1767.15,0.29478102913629395,0.3566137577947089,0.45905492731225744
28,9604,0.5610140779251125,0.24059290846427944,0.05797587898367503,1812.42,0.26960929680143425,0.3338864679201912,0.4390305230675598
29,9947,0.5810502949938665,0.219242946433787,0.04815115999239456,1852.35,0.2441885985892316,0.3114922929993172,0.4189488633148528
30,10290,0.6010865120626204,0.19845493311525206,0.03947361186620497,1884.78,0.22124944931720633,0.28960705173586704,0.3993223806068776
31,10633,0.6211227291313745,0.17831824288801915,0.031884221704195935,1917.57,0.19742040426691929,0.2669087149843257,0.37883563491275085
32,10976,0.6411589462001285,0.1585816928558911,0.02523253809247585,1942.42,0.1724074928304284,0.2444586143242825,0.358374550927946
33,11319,0.6611951632688825,0.1399392487878965,0.01968754665057019,1956.02,0.15139754844510564,0.22294256781821087,0.33864062101147935
34,11662,0.6812313803376365,0.12242420702143816,0.015083026950013711,1963.31,0.1300234600713077,0.2017551911283356,0.31846963097185665
35,12005,0.7012675974063906,0.1056300017524388,0.011262729111309185,1962.08,0.10968316855785835,0.1806826744009124,0.29855504425646745
36,12348,0.7213038144751446,0.09002394999707926,0.0082080518397021,1952.05,0.09247614300946645,0.16090414850154228,0.2787394923112326
37,12691,0.7413400315438986,0.07536071032186459,0.005771696500475177,1931.78,0.07682127057911334,0.14062048648791386,0.2581199709274179
38,13034,0.7613762486126526,0.05975641100531573,0.003744917308086093,1903.51,0.06019898308459825,0.1184654530456422,0.23801069096423647
39,13377,0.7814124656814067,0.04590221391436415,0.0023077913585131293,1859.1,0.04598431060872396,0.09776863216770554,0.21814150186544876
40,13720,0.8014486827501607,0.03373269466674455,0.001337996893985287,1798.76,0.03500133401773064,0.07734497661744531,0.19829193864578606
41,14063,0.8214848998189147,0.02358782639172849,0.0007200336802400516,1719.51,0.02567402817229246,0.055913601491856035,0.1784911524789029
42,14406,0.8415211168876686,0.015349611542730299,0.0003412663181403911,1625.39,0.017943499917281287,0.03666111705612442,0.15845444708651735
43,14749,0.8615573339564226,0.009540861031602314,0.00014713620124104498,1512.41,0.012585627730795723,0.022858122781360853,0.13857453495814528
44,15092,0.8815935510251767,0.005981073660844676,6.432242810255839e-05,1377.8,0.00920122028062688,0.013206544223144642,0.1183296908774714
45,15435,0.9016297680939307,0.0037467141772299785,2.7499168535112328e-05,1220.41,0.007092893018713243,0.008491573729552053,0.09797981392038489
46,15778,0.9216659851626847,0.0022384485075062797,1.0891847075488659e-05,1036.47,0.005552082964427735,0.006197074885790775,0.07788887093508841
47,16121,0.9417022022314387,0.0011542730299667037,3.791047186849773e-06,821.24,0.0044572111815998966,0.0036570152065197024,0.05790772661713094
48,16464,0.9617384193001928,0.0005835621239558386,1.110621831450958e-06,575.54,0.003768974329193637,0.0024684753618668823,0.03782289805357051
49,16807,0.9817746363689468,0.0002342426543606519,1.6850766925904354e-07,293.45,0.003073971742882734,0.0009644753668967409,0.018092756249284817
50,17119,1.0,0.0,0.0,0.0,0.0,0.0,0.0
