,Degree,Strength,Constraint,EffSize,LeaderRank,Katz,Betweenness,W_Betweenness,Closeness,W_Closeness,ViralRank,CoreHD,TotalCites,G-index,ActiveSpan
Degree,0,0,0,0,0,0,0,0,0,7.64E-35,0,0,0,0,0
Strength,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constraint,0,0,0,0,0,0,0,0,0,6.44E-97,0,0,0,0,0
EffSize,0,0,0,0,0,0,0,0,0,2.74E-113,0,0,0,0,0
LeaderRank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betweenness,0,0,0,0,0,0,0,0,0,4.34E-148,0,0,0,0,0
W_Betweenness,0,0,0,0,0,0,0,0,5.26E-198,2.07E-136,0,0,0,0,0
Closeness,0,0,0,0,0,0,0,5.26E-198,0,0,0,0,0,0,8.68E-150
W_Closeness,7.64E-35,0,6.44E-97,2.74E-113,0,0,4.34E-148,2.07E-136,0,0,0,7.69E-55,1.72E-236,0,1.25E-278
ViralRank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.12E-230
CoreHD,0,0,0,0,0,0,0,0,0,7.69E-55,0,0,0,0,0
TotalCites,0,0,0,0,0,0,0,0,0,1.72E-236,0,0,0,0,0
G-index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ActiveSpan,0,0,0,0,0,0,0,0,8.68E-150,1.25E-278,9.12E-230,0,0,0,0
