author,node_id,community,rw_coreness_weighted,rw_rank_weighted,cp_layer_weighted,rw_coreness_unweighted,rw_rank_unweighted,cp_layer_unweighted,cp_layer,cp_class,strength_total,strength_internal,strength_external,P_weighted,z_internal_strength,role_label,AuthorID,CommunityID,Paper_Count,Total_Citations,h_index,g_index,Total_Weighted_Degree,Internal_Weighted_Degree,community_metrics
author_10,0,3,0.0,1,periphery,0.7329842931937173,16067,core,periphery,noncore,3.768867924528301,3.5188679245283008,0.25000000000000044,0.12386572076171576,0.2458519129666354,peripheral,author_10,3,8,140,5,8,3.7689,3.5189,3
author_12,1,4,0.1390915634720768,9665,semi_core,0.0,1,periphery,semi_core,noncore,22.05555555555555,21.10555555555555,0.9499999999999993,0.08305223686464602,1.7832275723799103,peripheral,author_12,4,23,834,14,23,22.0556,21.1056,4
author_128637,2,3,0.36579597340503067,13111,semi_core,0.0,2,periphery,semi_core,noncore,1.5999999999999999,1.0,0.5999999999999999,0.4687499999999999,-0.6075066610211759,peripheral,author_128637,3,2,11,1,2,1.6,1.0,3
author_13221,3,3,0.11997029569538228,9296,semi_core,0.459172476661546,13399,semi_core,semi_core,noncore,1.7499999999999996,1.4999999999999996,0.25,0.24489795918367352,-0.43811338603483135,peripheral,author_13221,3,2,30,2,2,1.75,1.5,3
author_1429,4,3,0.027334323427499807,7117,semi_core,0.0,3,periphery,semi_core,noncore,4.857142857142857,4.857142857142856,8.881784197001252e-16,4.440892098500626e-16,0.6992414603020537,ultra_peripheral,author_1429,3,5,139,4,5,4.8571,4.8571,3
author_1430,5,3,0.27780350699835127,11916,semi_core,0.2046150704512967,9740,semi_core,semi_core,noncore,4.857142857142857,4.857142857142856,8.881784197001252e-16,4.440892098500626e-16,0.6992414603020537,ultra_peripheral,author_1430,3,5,139,4,5,4.8571,4.8571,3
author_1431,6,3,0.8851816198065673,16946,core,0.8075746477659529,16535,core,core,core,17.178571428571427,17.178571428571427,0.0,0.0,4.873575736751261,provincial_hub,author_1431,3,18,587,12,18,17.1786,17.1786,3
author_1433,7,3,0.45515984849244173,14149,semi_core,0.33382630011547576,11701,semi_core,semi_core,noncore,4.857142857142857,4.857142857142856,8.881784197001252e-16,4.440892098500626e-16,0.6992414603020537,ultra_peripheral,author_1433,3,5,139,4,5,4.8571,4.8571,3
author_1434,8,3,0.6053880076893957,15529,core,0.5703312252736146,14656,core,core,core,6.607142857142857,6.357142857142856,0.2500000000000009,0.07281227173119098,1.2074212852610875,peripheral,author_1434,3,8,351,6,8,6.6071,6.3571,3
author_24322,9,3,0.2087615610892921,10862,semi_core,0.1280464778503994,8142,semi_core,semi_core,noncore,1.0,1.0,0.0,0.0,-0.6075066610211759,ultra_peripheral,author_24322,3,2,93,2,2,1.0,1.0,3
