u,v,weight
author_4,author_31030,0.5
author_7,author_127913,1.0
author_10,author_12,0.25
author_10,author_1429,0.16666666666666666
author_10,author_1430,0.16666666666666666
author_10,author_1431,0.16666666666666666
author_10,author_1433,0.16666666666666666
author_10,author_1434,0.41666666666666663
author_10,author_13221,0.41666666666666663
author_10,author_24322,0.5
author_10,author_51147,0.018867924528301886
author_10,author_81533,1.0
author_10,author_128637,0.5
author_12,author_13,9.51111111111111
author_12,author_40,0.1111111111111111
author_12,author_41,7.177777777777777
author_12,author_642,0.6666666666666666
author_12,author_1434,0.25
author_12,author_3068,0.3111111111111111
author_12,author_4893,0.9777777777777776
author_12,author_4894,1.6777777777777776
author_12,author_11819,0.1111111111111111
author_12,author_11852,0.3611111111111111
author_12,author_11860,0.2
author_12,author_11863,0.2
author_12,author_13221,0.25
author_13,author_40,2.0277777777777777
author_13,author_41,17.650159970748206
author_13,author_364,2.6973821929704282
author_13,author_642,6.147382192970427
author_13,author_3068,1.8409969115851472
author_13,author_4893,1.1444444444444444
author_13,author_4894,8.594444444444443
author_13,author_6909,0.25
author_13,author_11642,3.226747272335507
author_13,author_11819,0.1111111111111111
author_13,author_11852,0.3611111111111111
author_13,author_11860,5.376714951714951
author_13,author_11863,0.2
author_13,author_15462,3.1973821929704274
author_13,author_18044,0.25
author_13,author_20628,1.4710622710622714
author_13,author_20629,0.125
author_13,author_22800,1.453968253968254
author_13,author_25026,6.0640488596370945
author_13,author_30488,0.3333333333333333
author_13,author_33231,3.280715526303761
author_13,author_37588,0.5833333333333333
author_13,author_47927,0.6166666666666666
author_13,author_53043,4.8140488596370945
author_13,author_61359,0.2
author_13,author_63636,0.4916666666666667
author_13,author_67149,0.34285714285714286
author_13,author_67151,0.2
author_13,author_67152,0.2
author_13,author_71489,0.4
author_13,author_76661,0.25
author_13,author_77885,0.45
author_13,author_81870,0.5
author_13,author_92587,0.5
author_13,author_127820,0.2
author_13,author_127821,0.5333333333333333
author_13,author_127824,0.2
author_13,author_129236,0.4444444444444444
author_13,author_147448,0.8024475524475525
author_13,author_147453,0.7191142191142192
author_13,author_179527,0.85
author_19,author_100,0.5
author_19,author_163,0.5
author_19,author_677,0.25
author_19,author_809,0.8333333333333333
author_19,author_3276,0.125
author_19,author_3277,0.125
author_19,author_3278,0.125
author_19,author_4423,0.8333333333333333
author_19,author_6447,1.0833333333333333
author_19,author_6662,0.5
author_19,author_7218,0.6666666666666666
author_19,author_7219,0.9166666666666665
author_19,author_7221,0.6666666666666666
author_19,author_8349,3.25
author_19,author_9445,0.5
author_19,author_13189,1.0
author_19,author_14847,0.25
author_19,author_15034,1.5
author_19,author_16676,0.5
author_19,author_16926,0.5
author_19,author_18007,0.25
author_19,author_127407,0.45
author_19,author_170207,0.45
author_19,author_170208,0.45
author_19,author_170211,0.45
author_26,author_27,1.5
author_26,author_28,1.5
author_27,author_28,1.5
author_27,author_35,0.2
author_27,author_853,1.5
author_27,author_854,1.5
author_27,author_11815,1.0
author_27,author_16854,0.5
author_27,author_21361,0.3333333333333333
author_27,author_116913,0.6666666666666666
author_27,author_116917,0.6666666666666666
author_27,author_150625,1.2
author_27,author_197995,0.3333333333333333
author_28,author_9835,5.333333333333333
author_28,author_13132,1.3333333333333333
author_28,author_19810,0.8333333333333333
author_28,author_29171,0.5
author_29,author_11869,0.5
author_35,author_1071,0.8333333333333333
author_35,author_1072,1.2
author_35,author_1301,0.5
author_35,author_9835,0.3333333333333333
author_35,author_12910,0.5
author_35,author_13132,0.8333333333333333
author_35,author_15141,0.7
author_35,author_15147,0.5
author_35,author_15148,0.5
author_35,author_21953,0.5
author_35,author_28590,0.5
author_35,author_47907,2.5
author_35,author_68727,0.5
author_35,author_85095,2.0
author_35,author_87469,0.5
author_40,author_41,0.9444444444444444
author_40,author_642,0.25
author_40,author_3068,0.1111111111111111
author_40,author_4893,0.1111111111111111
author_40,author_4894,2.0277777777777777
author_40,author_11819,0.1111111111111111
author_40,author_11852,0.1111111111111111
author_40,author_11860,0.3333333333333333
author_41,author_364,1.405715526303762
author_41,author_642,3.1057155263037624
author_41,author_658,1.7
author_41,author_3068,1.5314731020613375
author_41,author_4893,0.6444444444444444
author_41,author_4894,3.927777777777778
author_41,author_6690,0.5
author_41,author_8428,0.25
author_41,author_11642,1.2946044151926508
author_41,author_11819,0.1111111111111111
author_41,author_11852,0.3611111111111111
author_41,author_11860,1.5255244755244755
author_41,author_11863,0.2
author_41,author_13133,0.5
author_41,author_15462,1.405715526303762
author_41,author_20628,1.1615384615384619
author_41,author_20629,0.125
author_41,author_22800,0.3111111111111111
author_41,author_25026,2.355715526303762
author_41,author_25467,0.3333333333333333
author_41,author_25469,2.3333333333333335
author_41,author_27434,0.3333333333333333
author_41,author_28457,2.5
author_41,author_30488,0.3333333333333333
author_41,author_33231,1.405715526303762
author_41,author_33252,0.3333333333333333
author_41,author_37588,0.3333333333333333
author_41,author_38000,1.5
author_41,author_41764,2.6166666666666667
author_41,author_47927,0.44999999999999996
author_41,author_53043,1.405715526303762
author_41,author_59517,0.5
author_41,author_61359,0.2
author_41,author_63636,0.325
author_41,author_67149,0.2
author_41,author_67151,0.2
author_41,author_67152,0.2
author_41,author_71489,0.2
author_41,author_76661,0.25
author_41,author_79506,3.0
author_41,author_81103,0.5
author_41,author_92398,0.8666666666666666
author_41,author_102248,0.16666666666666666
author_41,author_126732,0.16666666666666666
author_41,author_129236,0.4444444444444444
author_41,author_147448,0.8024475524475525
author_41,author_147453,0.7191142191142192
author_41,author_168597,0.25
author_41,author_172352,0.7
author_41,author_172356,0.2
author_41,author_179527,0.1
author_46,author_12580,0.5
author_98,author_100,0.5
author_98,author_484,0.5
author_129,author_1113,2.0
author_138,author_140,3.0
author_138,author_11623,0.5
author_138,author_20890,1.0
author_138,author_86518,1.0
author_138,author_89208,1.0
author_138,author_93494,1.0
author_146,author_147,2.0
author_146,author_4653,2.5
author_146,author_5848,2.0
author_146,author_6450,1.0
author_146,author_11869,1.8333333333333333
author_146,author_13069,3.0
author_146,author_20418,1.0
author_146,author_40701,1.0
author_146,author_45772,1.0
author_146,author_48803,2.5
author_146,author_50163,2.0
author_146,author_69656,6.333333333333333
author_146,author_74913,0.3333333333333333
author_146,author_82129,1.0
author_146,author_104598,3.5
author_146,author_113557,2.0
author_147,author_35439,0.8333333333333333
author_147,author_40701,1.0
author_147,author_52340,0.5
author_147,author_61349,0.3333333333333333
author_147,author_61350,0.3333333333333333
author_147,author_80481,1.0
author_163,author_677,1.0916666666666666
author_163,author_6371,2.175
author_163,author_6662,0.5
author_163,author_7219,0.5833333333333333
author_163,author_11827,0.5833333333333333
author_163,author_15034,0.5
author_163,author_15871,1.25
author_163,author_29089,0.5833333333333333
author_163,author_41738,0.5
author_163,author_41764,1.0916666666666666
author_163,author_50246,3.425
author_163,author_57145,1.0916666666666666
author_163,author_68852,1.0833333333333333
author_181,author_920,1.0
author_181,author_14954,2.0
author_181,author_26849,1.0
author_181,author_31441,2.0
author_204,author_13135,1.0
author_204,author_15168,0.5
author_204,author_42237,0.3333333333333333
author_204,author_50558,1.0
author_204,author_89162,0.5
author_205,author_206,1.5833333333333333
author_205,author_216,2.25
author_205,author_1708,0.6666666666666666
author_205,author_1710,0.6666666666666666
author_205,author_11948,0.3333333333333333
author_205,author_13196,0.3333333333333333
author_205,author_14377,0.8333333333333333
author_205,author_17123,0.25
author_205,author_18813,0.8333333333333333
author_205,author_20974,0.5833333333333333
author_205,author_21357,0.75
author_205,author_24458,0.3333333333333333
author_205,author_25389,0.25
author_205,author_33168,0.25
author_205,author_35933,0.8333333333333333
author_205,author_36196,0.5
author_205,author_36197,0.8333333333333333
author_205,author_71131,2.75
author_205,author_72248,0.3333333333333333
author_205,author_79250,1.3333333333333333
author_205,author_90480,0.5833333333333333
author_206,author_20974,0.5833333333333333
author_206,author_21357,0.25
author_208,author_209,9.450000000000001
author_208,author_210,2.5833333333333335
author_208,author_6117,1.0
author_208,author_7755,1.0
author_208,author_14016,1.5
author_208,author_14018,1.25
author_208,author_23825,0.25
author_208,author_24466,0.5
author_208,author_26865,0.25
author_208,author_29216,1.3333333333333333
author_208,author_29520,0.5
author_208,author_31015,0.5833333333333334
author_208,author_42146,0.3333333333333333
author_208,author_51036,2.6166666666666667
author_208,author_53143,0.6666666666666666
author_208,author_55315,0.75
author_208,author_59373,1.0
author_208,author_64488,1.7
author_208,author_73619,0.2
author_208,author_93431,1.0
author_208,author_101207,0.25
author_209,author_210,1.5833333333333333
author_209,author_7755,1.0
author_209,author_14018,0.25
author_209,author_23825,0.25
author_209,author_24466,0.5
author_209,author_26865,0.25
author_209,author_29520,0.5
author_209,author_51036,1.3666666666666667
author_209,author_53143,0.6666666666666666
author_209,author_55315,0.75
author_209,author_59373,1.0
author_209,author_64488,0.45
author_210,author_979,0.5
author_210,author_13210,0.6666666666666666
author_210,author_23825,0.41666666666666663
author_210,author_26865,0.25
author_216,author_7117,1.0
author_216,author_14375,0.3333333333333333
author_216,author_14377,1.833333333333333
author_216,author_15561,0.5
author_216,author_17123,0.75
author_216,author_20355,0.9166666666666666
author_216,author_21355,0.8333333333333333
author_216,author_21357,0.75
author_216,author_21531,1.0
author_216,author_21533,0.8333333333333333
author_216,author_22924,0.5
author_216,author_23981,0.3333333333333333
author_216,author_24458,0.8333333333333333
author_216,author_25155,1.0
author_216,author_27640,0.3333333333333333
author_216,author_36862,0.6666666666666666
author_216,author_40567,0.3333333333333333
author_216,author_49637,0.5
author_216,author_61953,0.5
author_216,author_79250,0.8333333333333333
author_216,author_180444,0.3333333333333333
author_230,author_231,0.5
author_230,author_4982,1.0
author_231,author_18301,1.0
author_364,author_365,2.75
author_364,author_384,1.3333333333333333
author_364,author_385,1.3333333333333333
author_364,author_386,1.0833333333333333
author_364,author_642,2.387858383446619
author_364,author_3068,0.7703619909502264
author_364,author_4893,0.16666666666666666
author_364,author_11642,2.2767472723355078
author_364,author_11860,0.9267149517149518
author_364,author_15462,2.6973821929704282
author_364,author_20628,0.7115384615384617
author_364,author_22800,0.25396825396825395
author_364,author_25026,2.6973821929704282
author_364,author_33231,2.5307155263037617
author_364,author_53043,2.5307155263037617
author_364,author_129236,0.4444444444444444
author_364,author_147448,0.8024475524475525
author_364,author_147453,0.7191142191142192
author_364,author_179527,0.1
author_365,author_384,0.75
author_365,author_385,0.75
author_365,author_386,2.533333333333333
author_365,author_9825,0.25
author_365,author_49205,0.2
author_365,author_59091,1.6666666666666665
author_365,author_80205,0.6666666666666666
author_365,author_80206,0.6666666666666666
author_365,author_80207,0.6666666666666666
author_365,author_109410,0.5
author_365,author_109411,0.5
author_365,author_114365,0.5833333333333333
author_365,author_114367,0.5833333333333333
author_365,author_180185,0.6666666666666666
author_365,author_180186,0.6666666666666666
author_368,author_7587,0.14285714285714285
author_368,author_72802,0.14285714285714285
author_368,author_111286,0.14285714285714285
author_384,author_385,3.333333333333333
author_384,author_386,1.0833333333333333
author_385,author_386,1.0833333333333333
author_385,author_12657,4.0
author_385,author_82481,0.5
author_386,author_9825,0.25
